INSTRUMENT,VEGETATION,LOCATION,REPLICATE,SC_HEIGHT,FILENAME,NOTES,definition,NDVI
Unispec-SC,Shrub,S3,1,1,area match1200001.spu,NA,RapidSCAN,0.7105436421253423
Unispec-SC,Shrub,S3,1,1,area match1200001.spu,NA,ToolikEDC,0.6795099354237322
Unispec-SC,Shrub,S3,2,1,area match1200002.spu,NA,Greenseeker,0.6947415520971884
Unispec-SC,Shrub,S3,2,1,area match1200002.spu,NA,MODIS,0.7031355896371038
Unispec-SC,Shrub,S3,2,1,area match1200002.spu,NA,RapidSCAN,0.7116935173526342
Unispec-SC,Shrub,S3,2,1,area match1200002.spu,NA,ToolikEDC,0.6802290782177703
Unispec-SC,Shrub,S3,3,1,area match1200003.spu,NA,Greenseeker,0.6947520580164642
Unispec-SC,Shrub,S3,3,1,area match1200003.spu,NA,MODIS,0.7028710840800277
Unispec-SC,Shrub,S3,3,1,area match1200003.spu,NA,RapidSCAN,0.7114252133727978
Unispec-SC,Shrub,S3,3,1,area match1200003.spu,NA,ToolikEDC,0.680050036758474
Unispec-SC,Shrub,S3,4,1,area match1200004.spu,NA,Greenseeker,0.6928576884882744
Unispec-SC,Shrub,S3,4,1,area match1200004.spu,NA,MODIS,0.7017106026775902
Unispec-SC,Shrub,S3,4,1,area match1200004.spu,NA,RapidSCAN,0.7090357766544823
Unispec-SC,Shrub,S3,4,1,area match1200004.spu,NA,ToolikEDC,0.6790819859321813
Unispec-SC,Shrub,S3,5,1,area match1200005.spu,NA,Greenseeker,0.6946496379775583
Unispec-SC,Shrub,S3,5,1,area match1200005.spu,NA,MODIS,0.7031757838441653
Unispec-SC,Shrub,S3,5,1,area match1200005.spu,NA,RapidSCAN,0.710669011279877
Unispec-SC,Shrub,S3,5,1,area match1200005.spu,NA,ToolikEDC,0.6805401784482449
Unispec-SC,Shrub,S3,6,1,area match1200006.spu,NA,Greenseeker,0.6936946297546978
Unispec-SC,Shrub,S3,6,1,area match1200006.spu,NA,MODIS,0.7022843984864847
Unispec-SC,Shrub,S3,6,1,area match1200006.spu,NA,RapidSCAN,0.7096897951917794
Unispec-SC,Shrub,S3,6,1,area match1200006.spu,NA,ToolikEDC,0.6797162655858894
Unispec-SC,Shrub,S3,7,1,area match1200007.spu,NA,Greenseeker,0.6959627490289055
Unispec-SC,Shrub,S3,7,1,area match1200007.spu,NA,MODIS,0.7049772871459659
Unispec-SC,Shrub,S3,7,1,area match1200007.spu,NA,RapidSCAN,0.7125029909259906
Unispec-SC,Shrub,S3,7,1,area match1200007.spu,NA,ToolikEDC,0.6823910529710128
Unispec-SC,Shrub,S3,8,1,area match1200008.spu,NA,Greenseeker,0.6949433966871268
Unispec-SC,Shrub,S3,8,1,area match1200008.spu,NA,MODIS,0.703878829180046
Unispec-SC,Shrub,S3,8,1,area match1200008.spu,NA,RapidSCAN,0.7119341059003554
Unispec-SC,Shrub,S3,8,1,area match1200008.spu,NA,ToolikEDC,0.6812122085499487
Unispec-SC,Shrub,S3,9,1,area match1200009.spu,NA,Greenseeker,0.6954410937461785
Unispec-SC,Shrub,S3,9,1,area match1200009.spu,NA,MODIS,0.7042556325434091
Unispec-SC,Shrub,S3,9,1,area match1200009.spu,NA,RapidSCAN,0.7118721587333744
Unispec-SC,Shrub,S3,9,1,area match1200009.spu,NA,ToolikEDC,0.6815483106489298
Unispec-SC,Shrub,S3,10,1,area match1200010.spu,NA,Greenseeker,0.6945975676831877
Unispec-SC,Shrub,S3,10,1,area match1200010.spu,NA,MODIS,0.7036384096211111
Unispec-SC,Shrub,S3,10,1,area match1200010.spu,NA,RapidSCAN,0.7115080692429734
Unispec-SC,Shrub,S3,10,1,area match1200010.spu,NA,ToolikEDC,0.6810253845996315
Unispec-SC,Heath,H1,1,1,area match1400001.spu,NA,Greenseeker,0.5925505517939806
Unispec-SC,Heath,H1,1,1,area match1400001.spu,NA,MODIS,0.6063673264431845
Unispec-SC,Heath,H1,1,1,area match1400001.spu,NA,RapidSCAN,0.614064751420082
