spu_filename,Date,Site,Block,Treatment,Replicate,definition,NDVI
2019-06-02_LMAT_00071.spu,2019-06-02,LMAT,B1,F5,5,MODIS,0.37074257891927487
2019-06-02_LMAT_00071.spu,2019-06-02,LMAT,B1,F5,5,RapidSCAN,0.2891147168307098
2019-06-02_LMAT_00072.spu,2019-06-02,LMAT,B1,F10,1,Greenseeker,0.28457102588250904
2019-06-02_LMAT_00072.spu,2019-06-02,LMAT,B1,F10,1,MODIS,0.33651356021131956
2019-06-02_LMAT_00072.spu,2019-06-02,LMAT,B1,F10,1,RapidSCAN,0.2852098428168585
2019-06-02_LMAT_00073.spu,2019-06-02,LMAT,B1,F10,1.25,Greenseeker,0.4334012221477692
2019-06-02_LMAT_00073.spu,2019-06-02,LMAT,B1,F10,1.25,MODIS,0.4692211320061794
2019-06-02_LMAT_00073.spu,2019-06-02,LMAT,B1,F10,1.25,RapidSCAN,0.44225207136119365
2019-06-02_LMAT_00074.spu,2019-06-02,LMAT,B1,F10,1.5,Greenseeker,0.5091758235513678
2019-06-02_LMAT_00074.spu,2019-06-02,LMAT,B1,F10,1.5,MODIS,0.5323866492098621
2019-06-02_LMAT_00074.spu,2019-06-02,LMAT,B1,F10,1.5,RapidSCAN,0.5250962724658836
2019-06-02_LMAT_00075.spu,2019-06-02,LMAT,B1,F10,1.75,Greenseeker,0.656993543513146
2019-06-02_LMAT_00075.spu,2019-06-02,LMAT,B1,F10,1.75,MODIS,0.6637464756541837
2019-06-02_LMAT_00075.spu,2019-06-02,LMAT,B1,F10,1.75,RapidSCAN,0.6825662360504039
2019-06-02_LMAT_00076.spu,2019-06-02,LMAT,B1,F10,2,Greenseeker,0.6698617840993825
2019-06-02_LMAT_00076.spu,2019-06-02,LMAT,B1,F10,2,MODIS,0.6815953015806265
2019-06-02_LMAT_00076.spu,2019-06-02,LMAT,B1,F10,2,RapidSCAN,0.6926108532008185
2019-06-02_LMAT_00077.spu,2019-06-02,LMAT,B1,F10,2.2,Greenseeker,0.6626265714934566
2019-06-02_LMAT_00077.spu,2019-06-02,LMAT,B1,F10,2.2,MODIS,0.6766494265598435
2019-06-02_LMAT_00077.spu,2019-06-02,LMAT,B1,F10,2.2,RapidSCAN,0.6835414789828896
2019-06-02_LMAT_00078.spu,2019-06-02,LMAT,B1,F10,2.4,Greenseeker,0.5647030256745897
2019-06-02_LMAT_00078.spu,2019-06-02,LMAT,B1,F10,2.4,MODIS,0.5894584282522308
2019-06-02_LMAT_00078.spu,2019-06-02,LMAT,B1,F10,2.4,RapidSCAN,0.5801176434362343
2019-06-02_LMAT_00079.spu,2019-06-02,LMAT,B1,F10,2.6,Greenseeker,0.5569484109298196
2019-06-02_LMAT_00079.spu,2019-06-02,LMAT,B1,F10,2.6,MODIS,0.5769471012521805
2019-06-02_LMAT_00079.spu,2019-06-02,LMAT,B1,F10,2.6,RapidSCAN,0.5788177744710105
2019-06-02_LMAT_00080.spu,2019-06-02,LMAT,B1,F10,2.8,Greenseeker,0.30629205990704433
2019-06-02_LMAT_00080.spu,2019-06-02,LMAT,B1,F10,2.8,MODIS,0.3648695602273028
2019-06-02_LMAT_00080.spu,2019-06-02,LMAT,B1,F10,2.8,RapidSCAN,0.30667613075289823
2019-06-02_LMAT_00081.spu,2019-06-02,LMAT,B1,F10,3,Greenseeker,0.2769980870124759
2019-06-02_LMAT_00081.spu,2019-06-02,LMAT,B1,F10,3,MODIS,0.3364570402764911
2019-06-02_LMAT_00081.spu,2019-06-02,LMAT,B1,F10,3,RapidSCAN,0.2755598771186572
2019-06-02_LMAT_00082.spu,2019-06-02,LMAT,B1,F10,3.2,Greenseeker,0.3559743312659864
2019-06-02_LMAT_00082.spu,2019-06-02,LMAT,B1,F10,3.2,MODIS,0.42933802904682045
2019-06-02_LMAT_00082.spu,2019-06-02,LMAT,B1,F10,3.2,RapidSCAN,0.35436501757834965
2019-06-02_LMAT_00083.spu,2019-06-02,LMAT,B1,F10,3.4,Greenseeker,0.3883088915468287
2019-06-02_LMAT_00083.spu,2019-06-02,LMAT,B1,F10,3.4,MODIS,0.433546469776339
2019-06-02_LMAT_00083.spu,2019-06-02,LMAT,B1,F10,3.4,RapidSCAN,0.39280989334377275
2019-06-02_LMAT_00084.spu,2019-06-02,LMAT,B1,F10,3.6,Greenseeker,0.4338097237249879
2019-06-02_LMAT_00084.spu,2019-06-02,LMAT,B1,F10,3.6,MODIS,0.4708063161119618
2019-06-02_LMAT_00084.spu,2019-06-02,LMAT,B1,F10,3.6,RapidSCAN,0.44296358415794745
2019-06-02_LMAT_00085.spu,2019-06-02,LMAT,B1,F10,3.8,Greenseeker,0.41641980683915203
2019-06-02_LMAT_00085.spu,2019-06-02,LMAT,B1,F10,3.8,MODIS,0.46926797235274226
