JUN28SHB100005.spu,JUN28SHB100004.spu,JUN28SHB100003.spu,
Wavelength,JUN28SHB100006.spu,JUN28SHB100007.spu,JUN28SHB100008.spu,JUN28SHB100009.spu,JUN28SHB100010.spu,JUN28SHB100011.spu,JUN28SHB100012.spu,JUN28SHB100013.spu,JUN28SHB100014.spu,JUN28SHB100015.spu,JUN28SHB100016.spu,JUN28SHB100017.spu,JUN28SHB100018.spu,JUN28SHB100019.spu,JUN28SHB100020.spu,JUN28SHB100021.spu,JUN28SHB100022.spu,JUN28SHB100023.spu,JUN28SHB100024.spu,JUN28SHB100025.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,34:31 PM,34:50 PM,35:09 PM,35:26 PM,35:43 PM,36:22 PM,36:32 PM,36:56 PM,37:07 PM,37:18 PM,37:50 PM,37:59 PM,38:12 PM,38:28 PM,38:41 PM,39:11 PM,39:23 PM,39:32 PM,39:44 PM,39:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 372 , 0.010627 , 0.008706 , 0.018205 , 0.008794 , 0.00803 , 0.016155 , 0.007429 , 0.006803 , 0.023025 , 0.009019 , 0.012449 , 0.012643 , 0.014555 , 0.014812 , 0.004951 , 0.008415 , 0.012093 , 0.007608 , 0.009776 , 0.003656 
 373 , 0.010775 , 0.008716 , 0.018456 , 0.008984 , 0.008121 , 0.016253 , 0.007592 , 0.006832 , 0.02327 , 0.009186 , 0.012634 , 0.012631 , 0.015066 , 0.015235 , 0.004972 , 0.008588 , 0.012135 , 0.007524 , 0.009605 , 0.003558 
 374 , 0.010885 , 0.008723 , 0.018655 , 0.009149 , 0.008183 , 0.016325 , 0.007749 , 0.006844 , 0.023482 , 0.00932 , 0.012796 , 0.012621 , 0.015526 , 0.015611 , 0.004982 , 0.008739 , 0.012158 , 0.007455 , 0.009432 , 0.003457 
 375 , 0.010964 , 0.008729 , 0.018813 , 0.009292 , 0.008223 , 0.016378 , 0.0079 , 0.006843 , 0.023671 , 0.009427 , 0.01294 , 0.012613 , 0.015945 , 0.01595 , 0.004983 , 0.008873 , 0.012167 , 0.007397 , 0.009258 , 0.003355 
 376 , 0.011047 , 0.008826 , 0.019139 , 0.009454 , 0.008356 , 0.016659 , 0.007986 , 0.00694 , 0.023902 , 0.009392 , 0.013071 , 0.012904 , 0.016233 , 0.015991 , 0.004969 , 0.009 , 0.012222 , 0.007396 , 0.009297 , 0.00333 
 377 , 0.011111 , 0.008987 , 0.019522 , 0.00965 , 0.008524 , 0.017005 , 0.008035 , 0.007069 , 0.024137 , 0.009353 , 0.013146 , 0.013279 , 0.016473 , 0.015949 , 0.00494 , 0.009098 , 0.012278 , 0.007407 , 0.009418 , 0.003346 
 378 , 0.011157 , 0.00917 , 0.019894 , 0.009873 , 0.008688 , 0.017325 , 0.008077 , 0.007189 , 0.024358 , 0.00936 , 0.013174 , 0.013618 , 0.016722 , 0.015942 , 0.004902 , 0.009172 , 0.012316 , 0.007408 , 0.009535 , 0.003371 
 379 , 0.011216 , 0.009284 , 0.020051 , 0.009875 , 0.008639 , 0.017553 , 0.008152 , 0.00726 , 0.02462 , 0.009327 , 0.013175 , 0.01383 , 0.016849 , 0.015934 , 0.004924 , 0.009191 , 0.01248 , 0.007413 , 0.009623 , 0.003322 
 380 , 0.011346 , 0.009231 , 0.01983 , 0.009425 , 0.008209 , 0.017604 , 0.008302 , 0.007234 , 0.024852 , 0.009161 , 0.013182 , 0.013799 , 0.016689 , 0.015899 , 0.005071 , 0.009131 , 0.012949 , 0.007444 , 0.009657 , 0.003135 
 381 , 0.011513 , 0.009172 , 0.019665 , 0.008993 , 0.007836 , 0.017635 , 0.008452 , 0.007198 , 0.024916 , 0.008988 , 0.013208 , 0.01374 , 0.016494 , 0.015876 , 0.005218 , 0.009081 , 0.013461 , 0.00748 , 0.009699 , 0.002968 
 382 , 0.011702 , 0.009109 , 0.019531 , 0.008566 , 0.007487 , 0.017656 , 0.008605 , 0.007156 , 0.024885 , 0.008808 , 0.013244 , 0.013666 , 0.016275 , 0.015859 , 0.005365 , 0.009037 , 0.014003 , 0.00752 , 0.009744 , 0.00281 
 383 , 0.011869 , 0.009458 , 0.019408 , 0.008717 , 0.007843 , 0.017673 , 0.008338 , 0.007088 , 0.024923 , 0.009095 , 0.013149 , 0.013793 , 0.016687 , 0.016006 , 0.005462 , 0.009008 , 0.013387 , 0.00762 , 0.009703 , 0.002953 
 384 , 0.012054 , 0.009831 , 0.019321 , 0.008904 , 0.008232 , 0.017733 , 0.00806 , 0.007032 , 0.025013 , 0.009409 , 0.013068 , 0.013945 , 0.017124 , 0.01616 , 0.00556 , 0.008988 , 0.01274 , 0.007724 , 0.009678 , 0.003114 
 385 , 0.012249 , 0.010209 , 0.019253 , 0.009097 , 0.008624 , 0.01782 , 0.007787 , 0.006985 , 0.025137 , 0.009728 , 0.012996 , 0.014107 , 0.017559 , 0.016316 , 0.005659 , 0.008973 , 0.012105 , 0.007828 , 0.009664 , 0.003278 
 386 , 0.012302 , 0.010333 , 0.01946 , 0.009325 , 0.008778 , 0.018005 , 0.007843 , 0.007237 , 0.025222 , 0.009828 , 0.013207 , 0.014249 , 0.01792 , 0.016502 , 0.00579 , 0.009074 , 0.011983 , 0.008028 , 0.009823 , 0.00351 
 387 , 0.012262 , 0.010288 , 0.019851 , 0.009571 , 0.008771 , 0.018248 , 0.008118 , 0.007679 , 0.025283 , 0.009778 , 0.013597 , 0.014372 , 0.018221 , 0.016706 , 0.005942 , 0.009249 , 0.012209 , 0.008283 , 0.010091 , 0.00378 
 388 , 0.012229 , 0.010251 , 0.020237 , 0.009807 , 0.008768 , 0.018481 , 0.008383 , 0.008099 , 0.025354 , 0.009734 , 0.013968 , 0.01449 , 0.018511 , 0.016904 , 0.006092 , 0.009419 , 0.012428 , 0.008527 , 0.01035 , 0.004039 
 389 , 0.012275 , 0.010282 , 0.020505 , 0.010013 , 0.00879 , 0.018655 , 0.00862 , 0.008424 , 0.025439 , 0.009747 , 0.014226 , 0.014638 , 0.018766 , 0.0171 , 0.006224 , 0.009572 , 0.012616 , 0.008731 , 0.010556 , 0.004231 
 390 , 0.012586 , 0.010529 , 0.020389 , 0.010132 , 0.008893 , 0.01865 , 0.008791 , 0.00846 , 0.025559 , 0.009943 , 0.014141 , 0.014895 , 0.018927 , 0.017312 , 0.006315 , 0.009678 , 0.012729 , 0.008823 , 0.010611 , 0.004227 
 391 , 0.012885 , 0.010767 , 0.020284 , 0.010245 , 0.008994 , 0.018652 , 0.008957 , 0.008498 , 0.025681 , 0.010135 , 0.014057 , 0.015144 , 0.019081 , 0.017519 , 0.006399 , 0.009782 , 0.012837 , 0.008913 , 0.010668 , 0.004223 
 392 , 0.013179 , 0.010999 , 0.020185 , 0.010353 , 0.009091 , 0.018658 , 0.009118 , 0.008535 , 0.025799 , 0.010322 , 0.01398 , 0.015387 , 0.019231 , 0.017721 , 0.00648 , 0.009883 , 0.012944 , 0.009003 , 0.010721 , 0.004221 
