JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200036.spu,JUN18MAT200037.spu,JUN18MAT200038.spu,JUN18MAT200039.spu,JUN18MAT200040.spu,JUN18MAT200041.spu,JUN18MAT200042.spu,JUN18MAT200043.spu,JUN18MAT200044.spu,JUN18MAT200045.spu,JUN18MAT200046.spu,JUN18MAT200047.spu,JUN18MAT200048.spu,JUN18MAT200049.spu,JUN18MAT200050.spu,JUN18MAT200051.spu,JUN18MAT200052.spu,JUN18MAT200053.spu,JUN18MAT200054.spu,JUN18MAT200055.spu,JUN18MAT200056.spu,JUN18MAT200057.spu,JUN18MAT200058.spu,JUN18MAT200059.spu,JUN18MAT200060.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,32:46 PM,32:58 PM,33:05 PM,33:11 PM,33:18 PM,34:54 PM,35:04 PM,35:10 PM,35:16 PM,35:24 PM,35:57 PM,36:07 PM,36:15 PM,36:21 PM,36:33 PM,37:10 PM,37:16 PM,37:25 PM,37:32 PM,37:42 PM,39:07 PM,39:16 PM,39:27 PM,39:36 PM,39:44 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 356 , 0.015207 , 0.013549 , 0.012791 , 0.016252 , 0.022757 , 0.018708 , 0.014698 , 0.015505 , 0.016392 , 0.017016 , 0.019854 , 0.021077 , 0.018047 , 0.019361 , 0.013953 , 0.020667 , 0.023071 , 0.023304 , 0.024246 , 0.016602 , 0.016878 , 0.019652 , 0.022317 , 0.017755 , 0.017345 
 357 , 0.014766 , 0.014464 , 0.012606 , 0.01608 , 0.022384 , 0.018393 , 0.014963 , 0.014649 , 0.017133 , 0.017587 , 0.019853 , 0.021566 , 0.017643 , 0.019029 , 0.013267 , 0.020746 , 0.022561 , 0.023364 , 0.024191 , 0.016055 , 0.017088 , 0.019717 , 0.022977 , 0.017439 , 0.016814 
 358 , 0.014394 , 0.015372 , 0.012434 , 0.01593 , 0.022062 , 0.018115 , 0.015213 , 0.013921 , 0.017847 , 0.018133 , 0.019856 , 0.022028 , 0.017288 , 0.01873 , 0.012674 , 0.02082 , 0.022148 , 0.023426 , 0.024144 , 0.01556 , 0.017288 , 0.019781 , 0.023618 , 0.017171 , 0.016368 
 359 , 0.014388 , 0.015693 , 0.012625 , 0.0161 , 0.022051 , 0.017921 , 0.015468 , 0.014039 , 0.018042 , 0.018453 , 0.020299 , 0.02216 , 0.017554 , 0.019397 , 0.013075 , 0.021344 , 0.02227 , 0.023479 , 0.024064 , 0.015476 , 0.01758 , 0.020309 , 0.024342 , 0.017107 , 0.015974 
 360 , 0.014615 , 0.015582 , 0.01306 , 0.016484 , 0.022243 , 0.017786 , 0.015717 , 0.014721 , 0.017873 , 0.018608 , 0.02105 , 0.022059 , 0.018229 , 0.020791 , 0.014192 , 0.022181 , 0.02273 , 0.02352 , 0.023966 , 0.015667 , 0.017927 , 0.021165 , 0.0251 , 0.017172 , 0.015611 
 361 , 0.014826 , 0.01548 , 0.013464 , 0.016848 , 0.022422 , 0.017661 , 0.015949 , 0.015381 , 0.017721 , 0.018755 , 0.021777 , 0.021962 , 0.018859 , 0.022202 , 0.015315 , 0.022981 , 0.023162 , 0.023557 , 0.02388 , 0.015847 , 0.018251 , 0.021992 , 0.025814 , 0.017234 , 0.015283 
 362 , 0.015141 , 0.01554 , 0.013888 , 0.017158 , 0.022588 , 0.017596 , 0.016122 , 0.015933 , 0.01772 , 0.01882 , 0.022164 , 0.021885 , 0.01923 , 0.023405 , 0.016255 , 0.023637 , 0.023684 , 0.023803 , 0.024099 , 0.016172 , 0.018566 , 0.022666 , 0.026433 , 0.017387 , 0.015074 
 363 , 0.015954 , 0.016201 , 0.014487 , 0.017289 , 0.022734 , 0.017703 , 0.0161 , 0.016073 , 0.018294 , 0.018582 , 0.021271 , 0.021859 , 0.018705 , 0.023629 , 0.0164 , 0.023803 , 0.024603 , 0.02492 , 0.025535 , 0.017164 , 0.018879 , 0.022756 , 0.026778 , 0.01788 , 0.015202 
 364 , 0.016756 , 0.016819 , 0.015057 , 0.017398 , 0.022854 , 0.01779 , 0.01607 , 0.01619 , 0.018846 , 0.018359 , 0.020506 , 0.02182 , 0.018233 , 0.023821 , 0.016523 , 0.02394 , 0.025465 , 0.026004 , 0.026949 , 0.01815 , 0.019159 , 0.022824 , 0.027081 , 0.018326 , 0.015308 
 365 , 0.017548 , 0.017396 , 0.015598 , 0.017488 , 0.022952 , 0.017859 , 0.016034 , 0.016287 , 0.019377 , 0.01815 , 0.019842 , 0.021772 , 0.017804 , 0.023983 , 0.016628 , 0.024053 , 0.026273 , 0.027055 , 0.02834 , 0.019132 , 0.019409 , 0.022873 , 0.027347 , 0.018728 , 0.015396 
