WSG1_00031.spu,WSG1_00030.spu,
Wavelength,WSG1_00020.spu,WSG1_00021.spu
  (nm),7/13/2018 ,7/13/2018 
  time  ,:26:53 P,:27:14 P
temp C,SW,SW
,,
 809 , 0.218418 , 0.195105 
 810 , 0.218839 , 0.19542 
 811 , 0.219205 , 0.195722 
 812 , 0.219649 , 0.196065 
 813 , 0.220117 , 0.19642 
 814 , 0.220579 , 0.196799 
 815 , 0.221064 , 0.197195 
 816 , 0.221572 , 0.197615 
 817 , 0.222096 , 0.198039 
 818 , 0.22267 , 0.198495 
 819 , 0.223297 , 0.198997 
 820 , 0.223947 , 0.199509 
 821 , 0.224627 , 0.20001 
 822 , 0.225256 , 0.200446 
 823 , 0.225891 , 0.200896 
 824 , 0.226531 , 0.20136 
 825 , 0.227172 , 0.201841 
 826 , 0.227813 , 0.202326 
 827 , 0.22841 , 0.20281 
 828 , 0.228969 , 0.203309 
 829 , 0.229541 , 0.20381 
 830 , 0.230121 , 0.204308 
 831 , 0.230737 , 0.204759 
 832 , 0.231346 , 0.205217 
 833 , 0.231965 , 0.205677 
 834 , 0.232604 , 0.206164 
 835 , 0.233217 , 0.206606 
 836 , 0.233823 , 0.207045 
 837 , 0.234424 , 0.207473 
 838 , 0.235048 , 0.207928 
 839 , 0.235695 , 0.208404 
 840 , 0.236334 , 0.208886 
 841 , 0.236914 , 0.209347 
 842 , 0.237479 , 0.209789 
 843 , 0.238056 , 0.21024 
 844 , 0.238549 , 0.210617 
 845 , 0.239042 , 0.210983 
 846 , 0.239544 , 0.211365 
 847 , 0.240046 , 0.211745 
 848 , 0.240487 , 0.212051 
 849 , 0.240911 , 0.212327 
 850 , 0.241344 , 0.212617 
 851 , 0.241807 , 0.212959 
 852 , 0.242324 , 0.213397 
 853 , 0.242855 , 0.213842 
 854 , 0.243393 , 0.214234 
 855 , 0.243993 , 0.214607 
 856 , 0.244605 , 0.214992 
 857 , 0.245153 , 0.215346 
 858 , 0.245628 , 0.215688 
 859 , 0.246097 , 0.216044 
 860 , 0.246557 , 0.216387 
 861 , 0.246973 , 0.21671 
 862 , 0.247387 , 0.21704 
 863 , 0.247811 , 0.217372 
 864 , 0.248224 , 0.217703 
 865 , 0.248717 , 0.218038 
 866 , 0.249214 , 0.218382 
 867 , 0.249762 , 0.218754 
 868 , 0.250285 , 0.21913 
 869 , 0.25081 , 0.219509 
 870 , 0.251345 , 0.219895 
 871 , 0.251925 , 0.220326 
 872 , 0.252557 , 0.220807 
 873 , 0.25319 , 0.221286 
 874 , 0.253666 , 0.221571 
 875 , 0.254106 , 0.221794 
 876 , 0.254547 , 0.222028 
 877 , 0.255009 , 0.222311 
 878 , 0.255501 , 0.222665 
 879 , 0.256003 , 0.22304 
 880 , 0.256529 , 0.223439 
 881 , 0.257065 , 0.223854 
 882 , 0.257605 , 0.224244 
 883 , 0.258149 , 0.224625 
 884 , 0.258614 , 0.224925 
 885 , 0.259139 , 0.225291 
 886 , 0.259674 , 0.225657 
 887 , 0.260091 , 0.22594 
 888 , 0.260442 , 0.22612 
 889 , 0.260792 , 0.226296 
 890 , 0.261163 , 0.226447 
 891 , 0.261596 , 0.226649 
 892 , 0.262077 , 0.226914 
 893 , 0.262548 , 0.227187 
 894 , 0.262924 , 0.227405 
 895 , 0.263335 , 0.227565 
 896 , 0.263776 , 0.227727 
 897 , 0.264164 , 0.227907 
 898 , 0.264506 , 0.228179 
 899 , 0.264871 , 0.228471 
 900 , 0.265288 , 0.228768 
 901 , 0.265752 , 0.228997 
 902 , 0.266235 , 0.229178 
 903 , 0.26672 , 0.229356 
 904 , 0.267213 , 0.229537 
 905 , 0.267777 , 0.229804 
 906 , 0.268353 , 0.230083 
 907 , 0.268703 , 0.230212 
 908 , 0.269028 , 0.230369 
 909 , 0.269367 , 0.230524 
 910 , 0.269717 , 0.230892 
 911 , 0.270048 , 0.231307 
 912 , 0.270392 , 0.23172 
 913 , 0.270815 , 0.232118 
 914 , 0.271454 , 0.232575 
 915 , 0.272223 , 0.233193 
 916 , 0.272999 , 0.233799 
 917 , 0.273667 , 0.234163 
 918 , 0.274205 , 0.23438 
 919 , 0.274747 , 0.234607 
 920 , 0.275101 , 0.234642 
 921 , 0.275387 , 0.234638 
 922 , 0.275684 , 0.234632 
 923 , 0.275717 , 0.234528 
 924 , 0.275453 , 0.234251 
 925 , 0.275191 , 0.233873 
 926 , 0.274857 , 0.233423 
 927 , 0.274235 , 0.232765 
 928 , 0.273434 , 0.232012 
 929 , 0.272509 , 0.231145 
 930 , 0.271559 , 0.230261 
 931 , 0.270499 , 0.229317 
 932 , 0.269271 , 0.22823 
 933 , 0.268264 , 0.227346 
 934 , 0.267575 , 0.226737 
 935 , 0.266913 , 0.22615 
 936 , 0.266452 , 0.225596 
 937 , 0.266679 , 0.225301 
 938 , 0.267094 , 0.225199 
 939 , 0.26752 , 0.225099 
 940 , 0.267227 , 0.224604 
 941 , 0.267089 , 0.224257 
 942 , 0.266962 , 0.223916 
 943 , 0.266947 , 0.22368 
 944 , 0.26701 , 0.22346 
 945 , 0.26709 , 0.223211 
 946 , 0.267329 , 0.223228 
 947 , 0.267774 , 0.223662 
 948 , 0.268104 , 0.224054 
 949 , 0.268442 , 0.224441 
 950 , 0.268815 , 0.22477 
 951 , 0.269354 , 0.225218 
 952 , 0.269894 , 0.225667 
 953 , 0.270333 , 0.226238 
 954 , 0.270839 , 0.226845 
 955 , 0.271382 , 0.227445 
 956 , 0.271985 , 0.227933 
 957 , 0.272554 , 0.228288 
 958 , 0.272961 , 0.228619 
 959 , 0.273359 , 0.228946 
 960 , 0.273756 , 0.229296 
 961 , 0.274473 , 0.229797 
 962 , 0.275169 , 0.230279 
 963 , 0.276168 , 0.231118 
 964 , 0.277028 , 0.231846 
 965 , 0.277813 , 0.2325 
 966 , 0.278368 , 0.232952 
 967 , 0.278834 , 0.233377 
 968 , 0.279343 , 0.233886 
 969 , 0.279848 , 0.23434 
 970 , 0.280318 , 0.234624 
 971 , 0.280466 , 0.234599 
 972 , 0.280619 , 0.234578 
 973 , 0.280673 , 0.234418 
 974 , 0.280947 , 0.234489 
 975 , 0.281253 , 0.234599 
 976 , 0.281641 , 0.234842 
 977 , 0.28208 , 0.235048 
 978 , 0.282536 , 0.235173 
 979 , 0.283049 , 0.235371 
 980 , 0.283619 , 0.23572 
 981 , 0.284119 , 0.23623 
 982 , 0.28461 , 0.236724 
 983 , 0.28503 , 0.237057 
 984 , 0.285373 , 0.237168 
 985 , 0.285714 , 0.237268 
 986 , 0.286184 , 0.23754 
 987 , 0.286824 , 0.237843 
 988 , 0.287544 , 0.23814 
 989 , 0.288177 , 0.238397 
 990 , 0.288644 , 0.238651 
 991 , 0.288948 , 0.238969 
 992 , 0.289172 , 0.23923 
 993 , 0.289154 , 0.239293 
 994 , 0.2895 , 0.2395 
 995 , 0.289871 , 0.239715 
 996 , 0.290327 , 0.239687 
