WSG1_00034.spu,WSG1_00033.spu,WSG1_00032.spu,
Wavelength,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:27:36 P,:27:46 P,:27:57 P
temp C,SW,SW,SW
,,,
 1001 , 0.253012 , 0.233286 , 0.247918 
 1002 , 0.253093 , 0.233251 , 0.247619 
 1003 , 0.253313 , 0.233344 , 0.247527 
 1004 , 0.253703 , 0.233539 , 0.247792 
 1005 , 0.254122 , 0.233721 , 0.248065 
 1006 , 0.254624 , 0.233671 , 0.248383 
 1007 , 0.254936 , 0.233549 , 0.248499 
 1008 , 0.25523 , 0.233408 , 0.248595 
 1009 , 0.254948 , 0.232832 , 0.248062 
 1010 , 0.254367 , 0.231945 , 0.247154 
 1011 , 0.253671 , 0.230885 , 0.246064 
 1012 , 0.252925 , 0.230049 , 0.245175 
 1013 , 0.252211 , 0.229537 , 0.244629 
 1014 , 0.251718 , 0.229229 , 0.244391 
 1015 , 0.251316 , 0.228941 , 0.244106 
 1016 , 0.251369 , 0.228765 , 0.243712 
 1017 , 0.251122 , 0.228801 , 0.243274 
 1018 , 0.250859 , 0.228841 , 0.242803 
 1019 , 0.250258 , 0.228817 , 0.242615 
 1020 , 0.249664 , 0.228328 , 0.242211 
 1021 , 0.249061 , 0.227596 , 0.241678 
 1022 , 0.248068 , 0.226479 , 0.240709 
 1023 , 0.246856 , 0.225374 , 0.239546 
 1024 , 0.245674 , 0.224658 , 0.238512 
 1025 , 0.244568 , 0.223953 , 0.237251 
 1026 , 0.243656 , 0.223276 , 0.235597 
 1027 , 0.24267 , 0.222239 , 0.233816 
 1028 , 0.241664 , 0.221143 , 0.231995 
 1029 , 0.241226 , 0.220163 , 0.2312 
 1030 , 0.240605 , 0.218983 , 0.230281 
 1031 , 0.239914 , 0.217697 , 0.229283 
 1032 , 0.239299 , 0.216616 , 0.228321 
 1033 , 0.23906 , 0.215836 , 0.227493 
 1034 , 0.23917 , 0.215283 , 0.226758 
 1035 , 0.238698 , 0.214431 , 0.225865 
 1036 , 0.237399 , 0.213169 , 0.224751 
 1037 , 0.235435 , 0.211532 , 0.223353 
 1038 , 0.233325 , 0.209749 , 0.221741 
 1039 , 0.231012 , 0.207684 , 0.219572 
 1040 , 0.228788 , 0.205883 , 0.217472 
 1041 , 0.226422 , 0.203981 , 0.21524 
 1042 , 0.224915 , 0.201633 , 0.213212 
 1043 , 0.223246 , 0.198274 , 0.210686 
 1044 , 0.221366 , 0.194217 , 0.207756 
 1045 , 0.21868 , 0.190008 , 0.204769 
 1046 , 0.215357 , 0.186022 , 0.201892 
 1047 , 0.211724 , 0.182566 , 0.19924 
 1048 , 0.207979 , 0.179619 , 0.196406 
 1049 , 0.204295 , 0.177991 , 0.193383 
 1050 , 0.201359 , 0.176358 , 0.190153 
 1051 , 0.198255 , 0.17455 , 0.186697 
 1052 , 0.195744 , 0.171804 , 0.183308 
 1053 , 0.192802 , 0.168228 , 0.179672 
 1054 , 0.189554 , 0.164196 , 0.175768 
 1055 , 0.185384 , 0.158433 , 0.171431 
 1056 , 0.180635 , 0.152297 , 0.166838 
 1057 , 0.175469 , 0.146251 , 0.161991 
 1058 , 0.170377 , 0.141546 , 0.157373 
 1059 , 0.165317 , 0.138363 , 0.152916 
 1060 , 0.159422 , 0.134411 , 0.147429 
 1061 , 0.153092 , 0.129833 , 0.141745 
 1062 , 0.146376 , 0.123691 , 0.13647 
 1063 , 0.139193 , 0.11696 , 0.130835 
 1064 , 0.131504 , 0.109719 , 0.12482 
 1065 , 0.124166 , 0.100565 , 0.115345 
 1066 , 0.11664 , 0.09078 , 0.105194 
 1067 , 0.108732 , 0.08037 , 0.094489 
 1068 , 0.101735 , 0.072908 , 0.086567 
 1069 , 0.095277 , 0.067273 , 0.080341 
 1070 , 0.088662 , 0.061572 , 0.074019 
 1071 , 0.082261 , 0.056127 , 0.068561 
 1072 , 0.076719 , 0.05161 , 0.065167 
 1073 , 0.070477 , 0.046305 , 0.061354 
 1074 , 0.063938 , 0.040735 , 0.057207 
 1075 , 0.057509 , 0.034742 , 0.051522 
 1076 , 0.051027 , 0.028759 , 0.045704 
 1077 , 0.044273 , 0.022522 , 0.039625 
 1078 , 0.037181 , 0.019149 , 0.033001 
 1079 , 0.029572 , 0.016355 , 0.025942 
 1080 , 0.021432 , 0.01334 , 0.018419 
 1081 , 0.014825 , 0.010114 , 0.012533 
 1082 , 0.009725 , 0.00667 , 0.008284 
 1083 , 0.004341 , 0.002975 , 0.00368 
 1084 , 0 , 0 , 0 
 1085 , 0 , 0 , 0 
 1086 , 0 , 0 , 0 
 1087 , 0 , 0 , 0 
 1088 , 0 , 0 , 0 
 1089 , 0 , 0 , 0 
 1090 , 0 , 0 , 0 
 1091 , 0 , 0 , 0 
 1092 , 0 , 0 , 0 
 1093 , 0 , 0 , 0 
 1094 , 0 , 0 , 0 
 1095 , 0 , 0 , 0 
 1096 , 0 , 0 , 0 
 1097 , 0 , 0 , 0 
 1098 , 0 , 0 , 0 
 1099 , 0 , 0 , 0 
 1100 , 0 , 0 , 0 
 1101 , 0 , 0 , 0 
 1102 , 0 , 0 , 0 
 1103 , 0 , 0 , 0 
 1104 , 0 , 0 , 0 
 1105 , 0 , 0 , 0 
 1106 , 0 , 0 , 0 
 1107 , 0 , 0 , 0 
 1108 , 0 , 0 , 0 
 1109 , 0 , 0 , 0 
 1110 , 0 , 0 , 0 
 1111 , 0 , 0 , 0 
 1112 , 0 , 0 , 0 
 1113 , 0 , 0 , 0 
 1114 , 0 , 0 , 0 
 1115 , 0 , 0 , 0 
 1116 , 0 , 0 , 0 
 1117 , 0 , 0 , 0 
 1118 , 0 , 0 , 0 
 1119 , 0 , 0 , 0 
 1120 , 0 , 0 , 0 
 1121 , 0 , 0 , 0 
 1122 , 0 , 0 , 0 
 1123 , 0 , 0 , 0 
 1124 , 0.677877 , 0.689018 , 0.682097 
 1125 , 0.76848 , 0.780718 , 0.77238 
 1126 , 0.802681 , 0.813942 , 0.805949 
 1127 , 0.811283 , 0.821312 , 0.814115 
 1128 , 0.812123 , 0.821181 , 0.815193 
 1129 , 0.812095 , 0.821364 , 0.81835 
 1130 , 0.69863 , 0.703767 , 1.017123 
