SHB2_00005_SHB2_REF.spu,SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,26:11 AM,26:32 AM,26:46 AM,26:58 AM,27:13 AM,29:20 AM,30:01 AM,30:24 AM,30:46 AM,31:20 AM,32:19 AM,32:33 AM,32:44 AM,33:04 AM,33:17 AM,34:32 AM,34:40 AM,34:49 AM,34:58 AM,35:06 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 360 , 0.018261 , 0.022938 , 0.018867 , 0.019135 , 0.023453 , 0.018319 , 0.01878 , 0.012362 , 0.019132 , 0.012673 , 0.017646 , 0.011813 , 0.015973 , 0.017725 , 0.014987 , 0.026979 , 0.037104 , 0.034225 , 0.038483 , 0.032444 
 361 , 0.018551 , 0.023033 , 0.018763 , 0.019571 , 0.023756 , 0.018673 , 0.019078 , 0.012866 , 0.019526 , 0.01331 , 0.017602 , 0.012288 , 0.016299 , 0.018052 , 0.015384 , 0.02746 , 0.03744 , 0.035002 , 0.038995 , 0.032796 
 362 , 0.018811 , 0.023191 , 0.0188 , 0.019964 , 0.024098 , 0.018943 , 0.019315 , 0.013259 , 0.019879 , 0.013748 , 0.017606 , 0.012635 , 0.01657 , 0.018338 , 0.015724 , 0.027844 , 0.037768 , 0.035624 , 0.039429 , 0.033138 
 363 , 0.019 , 0.023628 , 0.019394 , 0.020268 , 0.024637 , 0.018941 , 0.019345 , 0.013307 , 0.020139 , 0.013514 , 0.017791 , 0.012552 , 0.016679 , 0.01851 , 0.015892 , 0.027868 , 0.038132 , 0.035715 , 0.039617 , 0.033468 
 364 , 0.019177 , 0.024043 , 0.019981 , 0.020556 , 0.025153 , 0.01894 , 0.019371 , 0.013356 , 0.020387 , 0.013293 , 0.017965 , 0.012474 , 0.01678 , 0.018672 , 0.016047 , 0.027883 , 0.038474 , 0.035794 , 0.039788 , 0.033772 
 365 , 0.019342 , 0.024438 , 0.02056 , 0.02083 , 0.025645 , 0.018939 , 0.019394 , 0.013405 , 0.020625 , 0.013085 , 0.018129 , 0.012399 , 0.016873 , 0.018824 , 0.01619 , 0.027892 , 0.038797 , 0.035863 , 0.039944 , 0.034053 
 366 , 0.019276 , 0.024513 , 0.020388 , 0.020674 , 0.025328 , 0.018767 , 0.019314 , 0.013295 , 0.020497 , 0.013006 , 0.017999 , 0.012269 , 0.016764 , 0.018772 , 0.015915 , 0.028086 , 0.038619 , 0.035668 , 0.040018 , 0.034019 
 367 , 0.01916 , 0.024517 , 0.020052 , 0.02043 , 0.024843 , 0.018559 , 0.01921 , 0.013151 , 0.020293 , 0.012954 , 0.017807 , 0.012129 , 0.01661 , 0.018678 , 0.015555 , 0.028326 , 0.038339 , 0.035424 , 0.040074 , 0.033921 
 368 , 0.019043 , 0.024518 , 0.019722 , 0.020193 , 0.024368 , 0.018352 , 0.019102 , 0.013011 , 0.020094 , 0.012903 , 0.017615 , 0.01199 , 0.016455 , 0.018585 , 0.015198 , 0.028561 , 0.038066 , 0.035186 , 0.040127 , 0.033826 
 369 , 0.019034 , 0.024532 , 0.019569 , 0.020057 , 0.024205 , 0.018204 , 0.019131 , 0.012851 , 0.019969 , 0.012906 , 0.017606 , 0.011988 , 0.016444 , 0.018495 , 0.015089 , 0.028709 , 0.038041 , 0.035201 , 0.040293 , 0.033975 
 370 , 0.019161 , 0.024561 , 0.01963 , 0.020044 , 0.024423 , 0.018128 , 0.019326 , 0.012665 , 0.019937 , 0.012977 , 0.017824 , 0.012154 , 0.016608 , 0.018409 , 0.015283 , 0.028749 , 0.038325 , 0.035534 , 0.040605 , 0.034435 
 371 , 0.019301 , 0.024604 , 0.019705 , 0.020042 , 0.024662 , 0.018066 , 0.019539 , 0.012482 , 0.019919 , 0.013047 , 0.018053 , 0.012329 , 0.016782 , 0.018335 , 0.015484 , 0.028826 , 0.038631 , 0.035887 , 0.040948 , 0.034914 
 372 , 0.019468 , 0.024679 , 0.019802 , 0.020081 , 0.02492 , 0.018047 , 0.019742 , 0.012333 , 0.019955 , 0.013137 , 0.018271 , 0.012515 , 0.016964 , 0.018305 , 0.015694 , 0.028946 , 0.038973 , 0.036271 , 0.041325 , 0.035395 
 373 , 0.019875 , 0.025019 , 0.020108 , 0.020565 , 0.025324 , 0.018488 , 0.01972 , 0.012579 , 0.02056 , 0.01345 , 0.018259 , 0.012783 , 0.017142 , 0.018779 , 0.015941 , 0.029345 , 0.03963 , 0.036908 , 0.041907 , 0.035803 
 374 , 0.020273 , 0.025363 , 0.020408 , 0.021036 , 0.025706 , 0.01892 , 0.019697 , 0.012828 , 0.021158 , 0.013767 , 0.018238 , 0.013042 , 0.017325 , 0.019237 , 0.016192 , 0.029734 , 0.040267 , 0.037525 , 0.04247 , 0.036188 
 375 , 0.020667 , 0.025712 , 0.020703 , 0.021498 , 0.02607 , 0.019346 , 0.019675 , 0.01308 , 0.021751 , 0.014088 , 0.018209 , 0.013295 , 0.017511 , 0.019683 , 0.016446 , 0.030115 , 0.040887 , 0.038126 , 0.043018 , 0.036554 
