  time  ,28:56 PM,29:20 PM,29:30 PM,29:40 PM,30:07 PM,30:18 PM,30:28 PM,30:38 PM,30:48 PM,31:39 PM,31:48 PM,31:56 PM,32:05 PM,32:15 PM,32:44 PM,32:53 PM,33:00 PM,33:08 PM,33:16 PM,33:39 PM,33:49 PM,34:00 PM,34:09 PM,34:20 PM,29:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 361 , 0.020259 , 0.021894 , 0.026179 , 0.027097 , 0.027265 , 0.029935 , 0.024803 , 0.029733 , 0.026802 , 0.017494 , 0.01981 , 0.014355 , 0.020906 , 0.020155 , 0.041974 , 0.031592 , 0.024034 , 0.045367 , 0.030687 , 0.026713 , 0.020927 , 0.029012 , 0.03215 , 0.040818 , 0.025605 
 362 , 0.020372 , 0.021869 , 0.026054 , 0.02695 , 0.027209 , 0.029883 , 0.024695 , 0.029932 , 0.026737 , 0.017513 , 0.019903 , 0.014193 , 0.020857 , 0.02017 , 0.041779 , 0.031332 , 0.023963 , 0.044991 , 0.030328 , 0.026682 , 0.020811 , 0.029086 , 0.031983 , 0.040788 , 0.0259 
 363 , 0.020079 , 0.022118 , 0.026186 , 0.026947 , 0.027378 , 0.030018 , 0.025048 , 0.030315 , 0.027092 , 0.017607 , 0.020062 , 0.014543 , 0.021022 , 0.020447 , 0.042279 , 0.031801 , 0.024663 , 0.045311 , 0.030611 , 0.026807 , 0.020889 , 0.029078 , 0.031952 , 0.041015 , 0.025774 
 364 , 0.019806 , 0.022342 , 0.026303 , 0.02694 , 0.027522 , 0.030137 , 0.025373 , 0.03067 , 0.027425 , 0.01769 , 0.0202 , 0.014861 , 0.021167 , 0.020706 , 0.042744 , 0.032225 , 0.025325 , 0.045611 , 0.030874 , 0.026915 , 0.020949 , 0.029064 , 0.031913 , 0.041217 , 0.025651 
 365 , 0.01955 , 0.022546 , 0.026408 , 0.026928 , 0.027646 , 0.030244 , 0.025672 , 0.031001 , 0.027737 , 0.017762 , 0.020321 , 0.015151 , 0.021293 , 0.020948 , 0.043179 , 0.032607 , 0.025954 , 0.045893 , 0.031118 , 0.027008 , 0.020994 , 0.029045 , 0.031868 , 0.041397 , 0.025531 
 366 , 0.019526 , 0.022213 , 0.026292 , 0.026905 , 0.027577 , 0.030256 , 0.025428 , 0.030757 , 0.027501 , 0.017641 , 0.020332 , 0.01508 , 0.021107 , 0.020801 , 0.042624 , 0.032124 , 0.025516 , 0.045333 , 0.030966 , 0.027092 , 0.020833 , 0.028974 , 0.031623 , 0.041203 , 0.025298 
 367 , 0.019551 , 0.021782 , 0.026134 , 0.026882 , 0.027473 , 0.03025 , 0.025081 , 0.0304 , 0.027158 , 0.017486 , 0.020321 , 0.014939 , 0.020863 , 0.020576 , 0.04188 , 0.031479 , 0.024874 , 0.044626 , 0.030735 , 0.027177 , 0.020637 , 0.028896 , 0.031344 , 0.040942 , 0.02505 
 368 , 0.019575 , 0.021368 , 0.025981 , 0.026859 , 0.027371 , 0.030244 , 0.024746 , 0.030059 , 0.026826 , 0.017337 , 0.020312 , 0.014802 , 0.020628 , 0.020361 , 0.041163 , 0.030857 , 0.02426 , 0.043961 , 0.030513 , 0.027259 , 0.020445 , 0.028822 , 0.031074 , 0.040696 , 0.02481 
 369 , 0.01959 , 0.021211 , 0.025897 , 0.02687 , 0.027298 , 0.030316 , 0.024736 , 0.030053 , 0.026852 , 0.017312 , 0.0204 , 0.014806 , 0.020519 , 0.020236 , 0.040808 , 0.030489 , 0.024079 , 0.043627 , 0.030406 , 0.02732 , 0.020443 , 0.028734 , 0.030936 , 0.040621 , 0.024813 
 370 , 0.019596 , 0.021358 , 0.025895 , 0.026922 , 0.02726 , 0.030485 , 0.025118 , 0.030455 , 0.02731 , 0.017437 , 0.020612 , 0.014979 , 0.020559 , 0.02022 , 0.040877 , 0.030418 , 0.024411 , 0.04368 , 0.030433 , 0.027358 , 0.020671 , 0.028629 , 0.030955 , 0.040756 , 0.02511 
