  time  ,46:53 PM,47:11 PM,47:20 PM,47:37 PM,48:02 PM,05:31 PM,06:13 PM,06:41 PM,07:12 PM,07:54 PM,09:38 PM,09:57 PM,10:17 PM,10:51 PM,11:27 PM,13:17 PM,13:44 PM,14:14 PM,14:38 PM,15:01 PM,16:06 PM,16:44 PM,17:07 PM,17:33 PM,17:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 352 , 0.022398 , 0.021607 , 0.021935 , 0.019308 , 0.029115 , 0.026007 , 0.023661 , 0.02164 , 0.024252 , 0.02233 , 0.022553 , 0.025073 , 0.020257 , 0.03284 , 0.017739 , 0.021498 , 0.027704 , 0.019752 , 0.020472 , 0.024043 , 0.022075 , 0.022966 , 0.021912 , 0.027214 , 0.022425 
 353 , 0.022652 , 0.022046 , 0.022304 , 0.019334 , 0.029343 , 0.026396 , 0.023944 , 0.021877 , 0.024383 , 0.022644 , 0.023103 , 0.025416 , 0.020567 , 0.033065 , 0.01806 , 0.021829 , 0.028091 , 0.020008 , 0.020789 , 0.024291 , 0.022355 , 0.022992 , 0.022125 , 0.027525 , 0.022851 
 354 , 0.02289 , 0.022461 , 0.022648 , 0.019356 , 0.02955 , 0.026762 , 0.02421 , 0.022098 , 0.024506 , 0.022938 , 0.023622 , 0.025732 , 0.020863 , 0.033277 , 0.018355 , 0.022137 , 0.02845 , 0.020245 , 0.021081 , 0.024525 , 0.022616 , 0.023014 , 0.022325 , 0.027816 , 0.023258 
 355 , 0.023115 , 0.022854 , 0.022969 , 0.019374 , 0.029739 , 0.027108 , 0.02446 , 0.022305 , 0.024622 , 0.023216 , 0.024114 , 0.026021 , 0.021148 , 0.033478 , 0.018626 , 0.022424 , 0.028785 , 0.020466 , 0.021353 , 0.024746 , 0.022861 , 0.023034 , 0.022512 , 0.028088 , 0.023648 
 356 , 0.022555 , 0.02201 , 0.022275 , 0.018812 , 0.029354 , 0.026478 , 0.024044 , 0.021722 , 0.024086 , 0.02276 , 0.023478 , 0.02534 , 0.020338 , 0.032819 , 0.017982 , 0.021694 , 0.028108 , 0.019854 , 0.020725 , 0.024191 , 0.022297 , 0.022671 , 0.021767 , 0.027379 , 0.022856 
 357 , 0.021987 , 0.021156 , 0.021568 , 0.018249 , 0.028959 , 0.025832 , 0.023616 , 0.021129 , 0.023546 , 0.022293 , 0.022819 , 0.024651 , 0.019528 , 0.032152 , 0.017325 , 0.020954 , 0.027416 , 0.01923 , 0.020086 , 0.023627 , 0.021722 , 0.022307 , 0.021019 , 0.02666 , 0.022055 
 358 , 0.021451 , 0.020354 , 0.0209 , 0.017716 , 0.028582 , 0.025219 , 0.023209 , 0.020568 , 0.023034 , 0.02185 , 0.022196 , 0.024003 , 0.018771 , 0.03152 , 0.016702 , 0.020254 , 0.02676 , 0.018637 , 0.019481 , 0.023093 , 0.021178 , 0.021963 , 0.020315 , 0.025979 , 0.021305 
 359 , 0.021627 , 0.020456 , 0.021099 , 0.017866 , 0.028737 , 0.025443 , 0.0234 , 0.020746 , 0.023264 , 0.022071 , 0.022281 , 0.024262 , 0.018963 , 0.03168 , 0.016848 , 0.020368 , 0.02684 , 0.018699 , 0.019648 , 0.023307 , 0.021356 , 0.022129 , 0.020501 , 0.026121 , 0.021435 
 360 , 0.022288 , 0.021175 , 0.021891 , 0.018482 , 0.029249 , 0.02623 , 0.023989 , 0.021427 , 0.023996 , 0.022741 , 0.022845 , 0.02514 , 0.019803 , 0.032378 , 0.017515 , 0.021037 , 0.02742 , 0.019206 , 0.02034 , 0.024028 , 0.022026 , 0.02264 , 0.021295 , 0.026821 , 0.022161 
 361 , 0.02291 , 0.021853 , 0.022636 , 0.01906 , 0.029722 , 0.026959 , 0.02453 , 0.022061 , 0.024676 , 0.023365 , 0.023364 , 0.025966 , 0.020596 , 0.033029 , 0.018129 , 0.021662 , 0.027956 , 0.019675 , 0.020984 , 0.024702 , 0.022654 , 0.023115 , 0.022039 , 0.027472 , 0.02284 
 362 , 0.02336 , 0.022324 , 0.023204 , 0.019477 , 0.030059 , 0.027494 , 0.024881 , 0.02251 , 0.025178 , 0.023811 , 0.023776 , 0.026552 , 0.021136 , 0.033507 , 0.018522 , 0.022127 , 0.028369 , 0.020006 , 0.021401 , 0.02519 , 0.023069 , 0.023458 , 0.022572 , 0.027928 , 0.023353 
 363 , 0.023248 , 0.022107 , 0.023222 , 0.019379 , 0.029979 , 0.027451 , 0.024645 , 0.022378 , 0.025137 , 0.023696 , 0.023904 , 0.026366 , 0.020829 , 0.033454 , 0.018212 , 0.022101 , 0.028434 , 0.019919 , 0.021083 , 0.025096 , 0.022776 , 0.023399 , 0.022426 , 0.027776 , 0.023364 
 364 , 0.023143 , 0.021904 , 0.023239 , 0.019288 , 0.029903 , 0.027412 , 0.024425 , 0.022254 , 0.025098 , 0.023589 , 0.024029 , 0.026194 , 0.020542 , 0.033404 , 0.017923 , 0.022075 , 0.028495 , 0.019839 , 0.020786 , 0.025007 , 0.022502 , 0.023345 , 0.022291 , 0.027634 , 0.023379 
 365 , 0.023044 , 0.021713 , 0.023256 , 0.019204 , 0.029831 , 0.027375 , 0.02422 , 0.022137 , 0.025063 , 0.023491 , 0.02415 , 0.026034 , 0.020274 , 0.033357 , 0.017653 , 0.02205 , 0.028555 , 0.019765 , 0.02051 , 0.024923 , 0.022246 , 0.023295 , 0.022163 , 0.027502 , 0.023396 
 366 , 0.022644 , 0.021479 , 0.022974 , 0.018819 , 0.029577 , 0.02722 , 0.024118 , 0.021937 , 0.024716 , 0.023155 , 0.023819 , 0.025813 , 0.019897 , 0.033186 , 0.017485 , 0.021738 , 0.028442 , 0.019428 , 0.020241 , 0.024632 , 0.02208 , 0.023095 , 0.021998 , 0.027214 , 0.023088 
 367 , 0.022187 , 0.021239 , 0.022632 , 0.018376 , 0.029288 , 0.027042 , 0.024038 , 0.021721 , 0.024308 , 0.022777 , 0.0234 , 0.02558 , 0.019504 , 0.032988 , 0.017341 , 0.021372 , 0.028292 , 0.019041 , 0.019976 , 0.0243 , 0.021933 , 0.022863 , 0.021826 , 0.026896 , 0.022716 
 368 , 0.02174 , 0.021003 , 0.022296 , 0.017942 , 0.029005 , 0.026865 , 0.023956 , 0.021507 , 0.023911 , 0.022409 , 0.022994 , 0.025351 , 0.019121 , 0.032789 , 0.017201 , 0.021014 , 0.028143 , 0.018663 , 0.019716 , 0.023972 , 0.021787 , 0.022634 , 0.021656 , 0.026582 , 0.022355 
