SHB2_00005.ref_SHB2_DARK.spu,SHB2_00004.ref_SHB2_DARK.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1
  time  ,11:19 AM,12:14 AM,12:44 AM,13:16 AM,13:47 AM,15:23 AM,15:59 AM,16:23 AM,16:56 AM,17:22 AM,18:17 AM,19:20 AM,20:04 AM,20:44 AM,21:10 AM,23:21 AM,23:38 AM,23:56 AM,24:17 AM,24:34 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 354 , 0.02032 , 0.021891 , 0.024296 , 0.013794 , 0.025587 , 0.01788 , 0.02689 , 0.026876 , 0.022887 , 0.018102 , 0.020221 , 0.013173 , 0.019335 , 0.021472 , 0.023906 , 0.022953 , 0.033755 , 0.032871 , 0.034855 , 0.033578 
 355 , 0.020399 , 0.022383 , 0.024616 , 0.0143 , 0.026242 , 0.018493 , 0.027359 , 0.027436 , 0.023477 , 0.018359 , 0.02041 , 0.01376 , 0.019737 , 0.021966 , 0.024257 , 0.023231 , 0.034019 , 0.033579 , 0.035398 , 0.034325 
 356 , 0.020631 , 0.022227 , 0.024532 , 0.013859 , 0.026424 , 0.018324 , 0.027069 , 0.027245 , 0.023484 , 0.018346 , 0.020204 , 0.01374 , 0.019529 , 0.02203 , 0.023884 , 0.023075 , 0.033822 , 0.033304 , 0.035365 , 0.033962 
 357 , 0.020858 , 0.022044 , 0.024432 , 0.013395 , 0.026582 , 0.018126 , 0.026755 , 0.027027 , 0.023463 , 0.018321 , 0.019986 , 0.01369 , 0.019302 , 0.02207 , 0.023495 , 0.022905 , 0.033613 , 0.032992 , 0.035306 , 0.033564 
 358 , 0.021074 , 0.021866 , 0.024337 , 0.012956 , 0.026737 , 0.017938 , 0.026456 , 0.02682 , 0.023443 , 0.018296 , 0.019775 , 0.013642 , 0.019086 , 0.022107 , 0.023127 , 0.022744 , 0.033416 , 0.032695 , 0.035249 , 0.033186 
 359 , 0.021178 , 0.021857 , 0.024303 , 0.012983 , 0.026474 , 0.017883 , 0.026444 , 0.026785 , 0.023403 , 0.018332 , 0.019918 , 0.013467 , 0.018995 , 0.022012 , 0.023154 , 0.022783 , 0.033568 , 0.032684 , 0.035264 , 0.033225 
 360 , 0.021203 , 0.021962 , 0.024309 , 0.013324 , 0.025932 , 0.01792 , 0.026631 , 0.026871 , 0.023348 , 0.018406 , 0.020296 , 0.013212 , 0.018991 , 0.021827 , 0.023454 , 0.022959 , 0.033958 , 0.032867 , 0.035331 , 0.033547 
 361 , 0.021226 , 0.022055 , 0.024313 , 0.01364 , 0.02543 , 0.017955 , 0.026806 , 0.026954 , 0.023296 , 0.01847 , 0.020642 , 0.012974 , 0.018985 , 0.021656 , 0.02374 , 0.023123 , 0.034325 , 0.033036 , 0.035396 , 0.033843 
 362 , 0.021279 , 0.022168 , 0.024343 , 0.0139 , 0.025134 , 0.018005 , 0.026949 , 0.027085 , 0.023286 , 0.018555 , 0.02089 , 0.012833 , 0.019012 , 0.021557 , 0.023966 , 0.023272 , 0.034623 , 0.033162 , 0.035463 , 0.034065 
 363 , 0.021443 , 0.022388 , 0.024497 , 0.014021 , 0.025546 , 0.018126 , 0.026989 , 0.027399 , 0.023431 , 0.01875 , 0.020849 , 0.013018 , 0.01918 , 0.021707 , 0.023993 , 0.023393 , 0.034715 , 0.033151 , 0.035537 , 0.034074 
