JUL12WSG200005.spu,JUL12WSG200004.spu,
Wavelength,JUL12WSG200006.spu,JUL12WSG200007.spu,JUL12WSG200008.spu,JUL12WSG200009.spu,JUL12WSG200010.spu,JUL12WSG200011.spu,JUL12WSG200012.spu,JUL12WSG200013.spu,JUL12WSG200014.spu,JUL12WSG200015.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:01:52 A,:02:00 A,:02:08 A,:02:15 A,:02:23 A,:03:28 A,:03:36 A,:03:44 A,:03:53 A,:04:01 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 442 , 0.0206 , 0.029026 , 0.030438 , 0.030987 , 0.027477 , 0.053064 , 0.033943 , 0.032547 , 0.046319 , 0.037216 
 443 , 0.020912 , 0.029587 , 0.031111 , 0.031629 , 0.028101 , 0.054065 , 0.034578 , 0.033165 , 0.047198 , 0.037945 
 444 , 0.021191 , 0.030143 , 0.03178 , 0.03227 , 0.028736 , 0.055008 , 0.035202 , 0.033716 , 0.048042 , 0.038673 
 445 , 0.021477 , 0.030693 , 0.032457 , 0.032906 , 0.029373 , 0.055953 , 0.03583 , 0.034266 , 0.048887 , 0.039398 
 446 , 0.021758 , 0.031248 , 0.033128 , 0.033542 , 0.030011 , 0.056893 , 0.036458 , 0.034819 , 0.049727 , 0.040122 
 447 , 0.021941 , 0.031586 , 0.033647 , 0.034023 , 0.03048 , 0.057643 , 0.036929 , 0.035256 , 0.050378 , 0.040663 
 448 , 0.02213 , 0.031917 , 0.034164 , 0.034496 , 0.030951 , 0.05839 , 0.037396 , 0.03569 , 0.051019 , 0.041197 
 449 , 0.022314 , 0.03225 , 0.034686 , 0.034973 , 0.031424 , 0.059137 , 0.037865 , 0.03612 , 0.051665 , 0.041729 
 450 , 0.022428 , 0.032512 , 0.035025 , 0.035313 , 0.031772 , 0.059626 , 0.038185 , 0.036429 , 0.052109 , 0.042119 
 451 , 0.022507 , 0.032726 , 0.035263 , 0.035581 , 0.032039 , 0.059949 , 0.038417 , 0.036655 , 0.052431 , 0.042423 
 452 , 0.022579 , 0.032941 , 0.035496 , 0.035842 , 0.032306 , 0.060278 , 0.038656 , 0.036888 , 0.052747 , 0.042721 
 453 , 0.022614 , 0.033096 , 0.035692 , 0.036062 , 0.032533 , 0.06055 , 0.03884 , 0.03706 , 0.053015 , 0.042962 
 454 , 0.022542 , 0.033091 , 0.035776 , 0.03615 , 0.03264 , 0.06067 , 0.038889 , 0.037092 , 0.053123 , 0.043037 
 455 , 0.022476 , 0.03309 , 0.035858 , 0.036237 , 0.032752 , 0.060788 , 0.038936 , 0.037123 , 0.053234 , 0.043115 
 456 , 0.022403 , 0.033082 , 0.035939 , 0.036322 , 0.032856 , 0.060903 , 0.038988 , 0.037153 , 0.053348 , 0.043198 
 457 , 0.022338 , 0.033067 , 0.035982 , 0.03637 , 0.032911 , 0.060963 , 0.039007 , 0.037156 , 0.053392 , 0.043253 
 458 , 0.022277 , 0.033056 , 0.036011 , 0.036414 , 0.032952 , 0.061007 , 0.039024 , 0.037157 , 0.053432 , 0.04331 
 459 , 0.022216 , 0.033043 , 0.036044 , 0.036457 , 0.032998 , 0.061055 , 0.039039 , 0.037157 , 0.05347 , 0.043371 
 460 , 0.022112 , 0.032959 , 0.036015 , 0.036404 , 0.032971 , 0.061006 , 0.039014 , 0.037106 , 0.053443 , 0.04335 
 461 , 0.021968 , 0.032815 , 0.035929 , 0.036259 , 0.032878 , 0.060869 , 0.038946 , 0.037003 , 0.053368 , 0.043265 
 462 , 0.021824 , 0.032676 , 0.035842 , 0.036113 , 0.032784 , 0.060729 , 0.038883 , 0.036899 , 0.053296 , 0.043184 
 463 , 0.02168 , 0.032525 , 0.035752 , 0.035966 , 0.032683 , 0.060581 , 0.038805 , 0.036787 , 0.053198 , 0.043089 
 464 , 0.021535 , 0.03233 , 0.035665 , 0.0358 , 0.032536 , 0.060391 , 0.03866 , 0.036615 , 0.053009 , 0.042963 
 465 , 0.021395 , 0.03214 , 0.035571 , 0.035627 , 0.03239 , 0.060204 , 0.038526 , 0.036449 , 0.052818 , 0.042834 
 466 , 0.02125 , 0.03195 , 0.035476 , 0.035459 , 0.032248 , 0.060015 , 0.038384 , 0.036276 , 0.052626 , 0.042699 
 467 , 0.021114 , 0.031844 , 0.035386 , 0.035403 , 0.032146 , 0.059894 , 0.038297 , 0.036177 , 0.05253 , 0.042619 
 468 , 0.020974 , 0.031765 , 0.035298 , 0.035369 , 0.032055 , 0.059794 , 0.038224 , 0.036085 , 0.052455 , 0.042544 
 469 , 0.020834 , 0.031685 , 0.035209 , 0.035334 , 0.031963 , 0.059698 , 0.03815 , 0.035999 , 0.052383 , 0.042475 
 470 , 0.020762 , 0.03165 , 0.03518 , 0.035316 , 0.031944 , 0.059716 , 0.038145 , 0.035984 , 0.052379 , 0.042468 
 471 , 0.020758 , 0.031675 , 0.035233 , 0.03533 , 0.032001 , 0.05988 , 0.038231 , 0.036053 , 0.052471 , 0.042543 
 472 , 0.020755 , 0.0317 , 0.035285 , 0.035339 , 0.032064 , 0.060043 , 0.038316 , 0.036127 , 0.052563 , 0.042618 
 473 , 0.020757 , 0.031731 , 0.035349 , 0.035365 , 0.032127 , 0.060213 , 0.038412 , 0.036201 , 0.052667 , 0.042704 
 474 , 0.020789 , 0.03178 , 0.035494 , 0.035494 , 0.032221 , 0.060428 , 0.038604 , 0.036317 , 0.052934 , 0.042885 
 475 , 0.020826 , 0.031832 , 0.035639 , 0.035622 , 0.032318 , 0.060649 , 0.038796 , 0.036431 , 0.053199 , 0.043067 
 476 , 0.020858 , 0.031884 , 0.035783 , 0.035751 , 0.032415 , 0.06087 , 0.038988 , 0.03655 , 0.053464 , 0.043249 
 477 , 0.020814 , 0.031954 , 0.035874 , 0.03588 , 0.032509 , 0.061076 , 0.039125 , 0.036676 , 0.053696 , 0.043413 
 478 , 0.020747 , 0.032026 , 0.035943 , 0.036015 , 0.032604 , 0.061279 , 0.039233 , 0.036807 , 0.053923 , 0.043569 
 479 , 0.02068 , 0.032103 , 0.036012 , 0.036145 , 0.032699 , 0.061483 , 0.039348 , 0.036939 , 0.054151 , 0.043725 
 480 , 0.020608 , 0.032134 , 0.03607 , 0.036197 , 0.032736 , 0.061608 , 0.03941 , 0.037003 , 0.054265 , 0.04381 
 481 , 0.020532 , 0.032084 , 0.036104 , 0.036098 , 0.032651 , 0.061586 , 0.039391 , 0.036946 , 0.054208 , 0.043785 
 482 , 0.020457 , 0.032034 , 0.036131 , 0.035999 , 0.032572 , 0.061564 , 0.039366 , 0.036889 , 0.05415 , 0.043759 
