JUL12SHB100005.spu,JUL12SHB100004.spu,JUL12SHB100003.spu,
Wavelength,JUL12SHB100006.spu,JUL12SHB100007.spu,JUL12SHB100008.spu,JUL12SHB100009.spu,JUL12SHB100010.spu,JUL12SHB100011.spu,JUL12SHB100012.spu,JUL12SHB100013.spu,JUL12SHB100014.spu,JUL12SHB100015.spu,JUL12SHB100016.spu,JUL12SHB100017.spu,JUL12SHB100018.spu,JUL12SHB100019.spu,JUL12SHB100020.spu,JUL12SHB100021.spu,JUL12SHB100022.spu,JUL12SHB100023.spu,JUL12SHB100024.spu,JUL12SHB100025.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,33:22 PM,33:38 PM,34:00 PM,34:16 PM,34:44 PM,35:06 PM,35:20 PM,35:38 PM,35:47 PM,35:56 PM,36:25 PM,36:42 PM,36:55 PM,37:04 PM,37:17 PM,37:37 PM,37:45 PM,37:53 PM,38:03 PM,38:10 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 383 , 0.007774 , 0.009593 , 0.017358 , 0.002212 , 0.009456 , 0.008988 , 0.006372 , 0.0097 , 0.007276 , 0.009468 , 0.009321 , 0.0122 , 0.010988 , 0.01419 , 0.011025 , 0.009109 , 0.005683 , 0.011194 , 0.010593 , 0.007587 
 384 , 0.007843 , 0.009777 , 0.01771 , 0.002432 , 0.00966 , 0.009231 , 0.006565 , 0.010019 , 0.007448 , 0.009671 , 0.009323 , 0.012099 , 0.011047 , 0.014293 , 0.011112 , 0.008993 , 0.005712 , 0.011448 , 0.010707 , 0.007687 
 385 , 0.007917 , 0.009967 , 0.01805 , 0.002649 , 0.009853 , 0.009473 , 0.006753 , 0.010339 , 0.007621 , 0.009887 , 0.009324 , 0.011992 , 0.011105 , 0.0144 , 0.011198 , 0.008882 , 0.005743 , 0.011696 , 0.010834 , 0.007792 
 386 , 0.007934 , 0.01016 , 0.018202 , 0.002794 , 0.010097 , 0.00964 , 0.006979 , 0.010466 , 0.007767 , 0.010009 , 0.009477 , 0.012125 , 0.011269 , 0.014545 , 0.011307 , 0.008918 , 0.005825 , 0.011743 , 0.010897 , 0.007812 
 387 , 0.007913 , 0.010352 , 0.01823 , 0.002887 , 0.010372 , 0.009751 , 0.007223 , 0.010457 , 0.007891 , 0.010064 , 0.009726 , 0.012414 , 0.011494 , 0.014707 , 0.011434 , 0.009055 , 0.005939 , 0.011658 , 0.010914 , 0.007775 
 388 , 0.007893 , 0.010537 , 0.018259 , 0.002977 , 0.01064 , 0.009857 , 0.007456 , 0.010452 , 0.008013 , 0.01012 , 0.009968 , 0.012688 , 0.011708 , 0.014858 , 0.011562 , 0.009188 , 0.006047 , 0.011584 , 0.010931 , 0.00774 
 389 , 0.007949 , 0.0107 , 0.018318 , 0.003034 , 0.010817 , 0.009932 , 0.00765 , 0.010488 , 0.008133 , 0.010211 , 0.01011 , 0.012954 , 0.011942 , 0.015019 , 0.011668 , 0.009335 , 0.006102 , 0.01157 , 0.010992 , 0.007748 
 390 , 0.008262 , 0.010805 , 0.018473 , 0.002988 , 0.0107 , 0.009908 , 0.007741 , 0.010666 , 0.008264 , 0.010425 , 0.009939 , 0.013222 , 0.012274 , 0.015236 , 0.011698 , 0.009544 , 0.00599 , 0.011743 , 0.011207 , 0.007891 
 391 , 0.008563 , 0.010908 , 0.018624 , 0.002944 , 0.010589 , 0.009888 , 0.007826 , 0.010839 , 0.00839 , 0.010632 , 0.009774 , 0.013479 , 0.012592 , 0.015446 , 0.011728 , 0.009745 , 0.005886 , 0.011909 , 0.011414 , 0.008029 
 392 , 0.008854 , 0.011007 , 0.018769 , 0.002903 , 0.010487 , 0.009867 , 0.007907 , 0.011005 , 0.008513 , 0.010833 , 0.009615 , 0.013726 , 0.012899 , 0.015649 , 0.011759 , 0.009935 , 0.005788 , 0.012069 , 0.011613 , 0.008163 
