MAY31WSG100004.spu,MAY31WSG100003.spu,
Wavelength,MAY31WSG100005.spu,MAY31WSG100006.spu,MAY31WSG100007.spu,MAY31WSG100008.spu,MAY31WSG100009.spu,MAY31WSG100010.spu,MAY31WSG100011.spu,MAY31WSG100012.spu,MAY31WSG100013.spu,MAY31WSG100014.spu,MAY31WSG100015.spu,MAY31WSG100016.spu,MAY31WSG100017.spu,MAY31WSG100018.spu,MAY31WSG100019.spu,MAY31WSG100020.spu,MAY31WSG100021.spu,MAY31WSG100022.spu,MAY31WSG100023.spu,MAY31WSG100024.spu,MAY31WSG100025.spu,MAY31WSG100026.spu,MAY31WSG100027.spu,MAY31WSG100028.spu,MAY31WSG100029.spu
  (nm),5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 
  time  ,:24:01 A,:24:17 A,:24:22 A,:24:29 A,:24:38 A,:25:10 A,:25:20 A,:25:26 A,:25:31 A,:25:39 A,:26:32 A,:26:38 A,:26:44 A,:27:00 A,:27:08 A,:28:01 A,:28:07 A,:28:17 A,:28:23 A,:28:33 A,:29:23 A,:29:30 A,:29:36 A,:29:41 A,:29:50 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 358 , 0.026877 , 0.021667 , 0.017655 , 0.022011 , 0.014549 , 0.014593 , 0.015952 , 0.014679 , 0.017487 , 0.016602 , 0.012124 , 0.013054 , 0.015549 , 0.017025 , 0.01177 , 0.010006 , 0.010976 , 0.010028 , 0.009904 , 0.008323 , 0.019909 , 0.025718 , 0.026164 , 0.016002 , 0.02356 
 359 , 0.027194 , 0.022444 , 0.017967 , 0.022401 , 0.014689 , 0.014804 , 0.016007 , 0.014757 , 0.018197 , 0.016662 , 0.012257 , 0.013372 , 0.015657 , 0.017051 , 0.011789 , 0.010084 , 0.010949 , 0.010093 , 0.010048 , 0.008463 , 0.020029 , 0.0258 , 0.026261 , 0.016139 , 0.023688 
 360 , 0.027201 , 0.023738 , 0.017848 , 0.022554 , 0.014841 , 0.015418 , 0.016239 , 0.0147 , 0.019395 , 0.016387 , 0.012527 , 0.013582 , 0.015744 , 0.016904 , 0.011301 , 0.010113 , 0.011097 , 0.009957 , 0.010009 , 0.008578 , 0.020297 , 0.025835 , 0.026457 , 0.01623 , 0.023881 
 361 , 0.02721 , 0.025006 , 0.017751 , 0.022697 , 0.014984 , 0.016005 , 0.016454 , 0.014645 , 0.02061 , 0.016147 , 0.012778 , 0.013778 , 0.015825 , 0.016774 , 0.010881 , 0.010138 , 0.011231 , 0.009837 , 0.009974 , 0.008685 , 0.020548 , 0.025868 , 0.026639 , 0.016314 , 0.02406 
 362 , 0.027214 , 0.025818 , 0.017645 , 0.022878 , 0.015214 , 0.016416 , 0.016717 , 0.014656 , 0.021374 , 0.01601 , 0.013006 , 0.014017 , 0.015892 , 0.016645 , 0.01061 , 0.01016 , 0.011342 , 0.00975 , 0.009943 , 0.008788 , 0.020779 , 0.025862 , 0.02677 , 0.016385 , 0.024107 
 363 , 0.027157 , 0.024873 , 0.017456 , 0.023204 , 0.015817 , 0.016185 , 0.017232 , 0.014891 , 0.020254 , 0.016163 , 0.013173 , 0.014436 , 0.015902 , 0.016458 , 0.010754 , 0.010148 , 0.011393 , 0.009746 , 0.009899 , 0.008897 , 0.02095 , 0.025687 , 0.026718 , 0.016407 , 0.023653 
 364 , 0.027079 , 0.024023 , 0.017269 , 0.023484 , 0.016398 , 0.015962 , 0.017717 , 0.015094 , 0.019287 , 0.016287 , 0.013314 , 0.014803 , 0.015894 , 0.016273 , 0.010887 , 0.010127 , 0.011429 , 0.009734 , 0.009849 , 0.008992 , 0.021092 , 0.025506 , 0.026651 , 0.016414 , 0.023225 
 365 , 0.026984 , 0.023252 , 0.017086 , 0.023725 , 0.016957 , 0.015746 , 0.018172 , 0.015269 , 0.018442 , 0.016387 , 0.013431 , 0.015125 , 0.015872 , 0.016093 , 0.011008 , 0.010098 , 0.011453 , 0.009716 , 0.009794 , 0.009073 , 0.021208 , 0.02532 , 0.02657 , 0.016409 , 0.022821 
 366 , 0.026972 , 0.023277 , 0.01714 , 0.02407 , 0.017092 , 0.015843 , 0.01811 , 0.015213 , 0.019028 , 0.016578 , 0.013473 , 0.015174 , 0.016046 , 0.016192 , 0.011338 , 0.010382 , 0.01178 , 0.009854 , 0.010005 , 0.009164 , 0.021541 , 0.025601 , 0.027287 , 0.016424 , 0.02309 
 367 , 0.026988 , 0.023482 , 0.017244 , 0.02443 , 0.017139 , 0.016005 , 0.017958 , 0.015132 , 0.019934 , 0.01678 , 0.013507 , 0.01517 , 0.016263 , 0.016347 , 0.011707 , 0.010734 , 0.012169 , 0.010023 , 0.010271 , 0.009254 , 0.021914 , 0.025978 , 0.02817 , 0.01645 , 0.023497 
