Year,Site,Treatment,Block,Plot,Species,Relative Cover
2013,MAT,N,1,4,litter,1.2
2013,MAT,N,1,4,frost boil,0
2013,MAT,N,1,4,bare,0
2013,MAT,N,1,4,And pol,0
2013,MAT,N,1,4,Arc alp,0
2013,MAT,N,1,4,Bet nan,32.9
2013,MAT,N,1,4,Cal lap,0
2013,MAT,N,1,4,Car big,0
2013,MAT,N,1,4,Cas tet,0
2013,MAT,N,1,4,Emp nig,0
2013,MAT,N,1,4,Eri vag,0.6
2013,MAT,N,1,4,Led pal,23.5
2013,MAT,N,1,4,Ped lap,0
2013,MAT,N,1,4,Pol bis,0
2013,MAT,N,1,4,Rub cha,37.6
2013,MAT,N,1,4,Sal pul,0.6
2013,MAT,N,1,4,Vac uli,3.5
2013,MAT,N,1,4,Vac vit,0
2013,MAT,N,1,4,Tofieldia,0
2013,MAT,N,1,4,Car mic,0
2013,MAT,N,1,4,St. D. Bet.,0
2013,MAT,N,1,4,St. D. Sal pul,0
2013,MAT,N,1,4,vole litter,0
2013,MAT,N,1,5,moss,0
2013,MAT,N,1,5,lichen,0
2013,MAT,N,1,5,litter,1.2
2013,MAT,N,1,5,frost boil,0
2013,MAT,N,1,5,bare,0
2013,MAT,N,1,5,And pol,0
2013,MAT,N,1,5,Arc alp,0
2013,MAT,N,1,5,Bet nan,48.6
2013,MAT,N,1,5,Cal lap,0
2013,MAT,N,1,5,Car big,0
2013,MAT,N,1,5,Cas tet,0
2013,MAT,N,1,5,Emp nig,0
2013,MAT,N,1,5,Eri vag,0.6
2013,MAT,N,1,5,Led pal,11.6
2013,MAT,N,1,5,Ped lap,0
2013,MAT,N,1,5,Pol bis,0
2013,MAT,N,1,5,Rub cha,26.6
2013,MAT,N,1,5,Sal pul,2.3
2013,MAT,N,1,5,Vac uli,0
2013,MAT,N,1,5,Vac vit,0
2013,MAT,N,1,5,Tofieldia,0
2013,MAT,N,1,5,Car mic,0
2013,MAT,N,1,5,St. D. Bet.,9.2
2013,MAT,N,1,5,St. D. Sal pul,0
2013,MAT,N,1,5,vole litter,0
2013,MAT,N,1,6,moss,0
2013,MAT,N,1,6,lichen,0
2013,MAT,N,1,6,litter,1.1
2013,MAT,N,1,6,frost boil,0
2013,MAT,N,1,6,bare,0
2013,MAT,N,1,6,And pol,0
2013,MAT,N,1,6,Arc alp,0
2013,MAT,N,1,6,Bet nan,59.7
2013,MAT,N,1,6,Cal lap,0
2013,MAT,N,1,6,Car big,0
2013,MAT,N,1,6,Cas tet,0
2013,MAT,N,1,6,Emp nig,0
2013,MAT,N,1,6,Eri vag,0
2013,MAT,N,1,6,Led pal,8.8
2013,MAT,N,1,6,Ped lap,0
2013,MAT,N,1,6,Pol bis,0
2013,MAT,N,1,6,Rub cha,18.8
2013,MAT,N,1,6,Sal pul,0.6
2013,MAT,N,1,6,Vac uli,0
2013,MAT,N,1,6,Vac vit,0
2013,MAT,N,1,6,Tofieldia,0
2013,MAT,N,1,6,Car mic,0
2013,MAT,N,1,6,St. D. Bet.,11
2013,MAT,N,1,6,St. D. Sal pul,0
2013,MAT,N,1,6,vole litter,0
2013,MAT,N,1,7,moss,0
2013,MAT,N,1,7,lichen,0
