JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00071.spu,JUL14NANT00072.spu,JUL14NANT00073.spu,JUL14NANT00074.spu,JUL14NANT00075.spu,JUL14NANT00076.spu,JUL14NANT00077.spu,JUL14NANT00078.spu,JUL14NANT00079.spu,JUL14NANT00080.spu,JUL14NANT00081.spu,JUL14NANT00082.spu,JUL14NANT00083.spu,JUL14NANT00084.spu,JUL14NANT00085.spu,JUL14NANT00086.spu,JUL14NANT00087.spu,JUL14NANT00088.spu,JUL14NANT00089.spu,JUL14NANT00090.spu,JUL14NANT00091.spu,JUL14NANT00092.spu,JUL14NANT00093.spu,JUL14NANT00094.spu,JUL14NANT00095.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:41:47 A,:41:52 A,:41:59 A,:42:05 A,:42:12 A,:42:49 A,:42:55 A,:43:02 A,:43:10 A,:43:18 A,:43:53 A,:44:01 A,:44:06 A,:44:14 A,:44:21 A,:44:58 A,:45:04 A,:45:11 A,:45:17 A,:45:26 A,:45:59 A,:46:05 A,:46:11 A,:46:17 A,:46:24 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 356 , 0.019949 , 0.015747 , 0.037044 , 0.013672 , 0.014783 , 0.025009 , 0.025069 , 0.027116 , 0.029245 , 0.027594 , 0.041248 , 0.027019 , 0.032187 , 0.02791 , 0.028953 , 0.043231 , 0.039452 , 0.033851 , 0.052988 , 0.031977 , 0.063402 , 0.040271 , 0.079451 , 0.06346 , 0.044446 
 357 , 0.019619 , 0.015765 , 0.036083 , 0.013898 , 0.014746 , 0.025552 , 0.023985 , 0.026152 , 0.02897 , 0.027977 , 0.042347 , 0.026032 , 0.032011 , 0.027594 , 0.028164 , 0.043324 , 0.038797 , 0.033666 , 0.051949 , 0.031819 , 0.062622 , 0.039739 , 0.078756 , 0.064132 , 0.042902 
 358 , 0.019313 , 0.01578 , 0.035221 , 0.014109 , 0.014711 , 0.026074 , 0.023068 , 0.025303 , 0.028713 , 0.028347 , 0.043414 , 0.025154 , 0.031845 , 0.027301 , 0.027458 , 0.04341 , 0.038195 , 0.033491 , 0.051 , 0.031669 , 0.061897 , 0.039248 , 0.078105 , 0.064789 , 0.041548 
 359 , 0.019263 , 0.015673 , 0.035182 , 0.014172 , 0.0147 , 0.025379 , 0.022881 , 0.025162 , 0.028598 , 0.027852 , 0.043283 , 0.024917 , 0.031367 , 0.02702 , 0.027231 , 0.043347 , 0.037629 , 0.033004 , 0.050402 , 0.031059 , 0.061466 , 0.039144 , 0.077104 , 0.063872 , 0.04112 
 360 , 0.019374 , 0.015486 , 0.035699 , 0.014126 , 0.014694 , 0.023978 , 0.023158 , 0.025492 , 0.028571 , 0.026831 , 0.042336 , 0.025088 , 0.030706 , 0.026748 , 0.027314 , 0.043173 , 0.037098 , 0.032333 , 0.050037 , 0.030188 , 0.06123 , 0.039296 , 0.075894 , 0.061965 , 0.04129 
 361 , 0.019461 , 0.015312 , 0.036193 , 0.014079 , 0.014678 , 0.022786 , 0.02342 , 0.025809 , 0.028531 , 0.025936 , 0.041471 , 0.025234 , 0.030107 , 0.026492 , 0.027383 , 0.042998 , 0.036606 , 0.031726 , 0.049687 , 0.029411 , 0.060998 , 0.039428 , 0.074774 , 0.060265 , 0.041444 
 362 , 0.019484 , 0.015148 , 0.036331 , 0.014016 , 0.014717 , 0.022062 , 0.023669 , 0.025982 , 0.028369 , 0.025356 , 0.040763 , 0.025278 , 0.029724 , 0.026338 , 0.027464 , 0.042903 , 0.036177 , 0.031218 , 0.04929 , 0.028786 , 0.060669 , 0.039306 , 0.073606 , 0.058902 , 0.041451 
 363 , 0.019334 , 0.01499 , 0.035102 , 0.013884 , 0.015012 , 0.022661 , 0.023901 , 0.025591 , 0.027772 , 0.025704 , 0.040434 , 0.024997 , 0.030032 , 0.026518 , 0.027619 , 0.04312 , 0.035887 , 0.030954 , 0.048654 , 0.028504 , 0.059941 , 0.038235 , 0.071991 , 0.058339 , 0.040895 
 364 , 0.019189 , 0.014839 , 0.033998 , 0.013754 , 0.015287 , 0.023237 , 0.024113 , 0.025221 , 0.027216 , 0.026036 , 0.040113 , 0.024726 , 0.03031 , 0.026665 , 0.027747 , 0.0433 , 0.035603 , 0.0307 , 0.048047 , 0.028232 , 0.059247 , 0.037252 , 0.070492 , 0.057801 , 0.040367 
 365 , 0.019049 , 0.014694 , 0.032999 , 0.013627 , 0.015544 , 0.023792 , 0.024308 , 0.024869 , 0.026697 , 0.026352 , 0.039801 , 0.024466 , 0.03056 , 0.026783 , 0.027851 , 0.043449 , 0.035325 , 0.030457 , 0.047468 , 0.02797 , 0.058585 , 0.036348 , 0.069095 , 0.057286 , 0.039864 
 366 , 0.018864 , 0.014758 , 0.032797 , 0.013732 , 0.015329 , 0.023888 , 0.023904 , 0.024503 , 0.026354 , 0.026196 , 0.038425 , 0.024427 , 0.030059 , 0.026719 , 0.027119 , 0.043006 , 0.034708 , 0.030104 , 0.047239 , 0.027693 , 0.057363 , 0.035946 , 0.068469 , 0.056401 , 0.039066 
 367 , 0.018686 , 0.014867 , 0.03278 , 0.013889 , 0.015044 , 0.023883 , 0.023417 , 0.024163 , 0.026077 , 0.025957 , 0.036992 , 0.024443 , 0.029442 , 0.02663 , 0.026289 , 0.04247 , 0.034074 , 0.029761 , 0.047104 , 0.027436 , 0.056142 , 0.035679 , 0.068049 , 0.055507 , 0.038274 
 368 , 0.018524 , 0.014977 , 0.032773 , 0.014042 , 0.014792 , 0.023878 , 0.022978 , 0.023848 , 0.025831 , 0.025745 , 0.035734 , 0.024461 , 0.028873 , 0.026551 , 0.025541 , 0.041965 , 0.033497 , 0.029457 , 0.046983 , 0.027203 , 0.055052 , 0.035438 , 0.067666 , 0.054692 , 0.037555 
