JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100007.spu,JUN24SHB100008.spu,JUN24SHB100009.spu,JUN24SHB100010.spu,JUN24SHB100011.spu,JUN24SHB100012.spu,JUN24SHB100013.spu,JUN24SHB100014.spu,JUN24SHB100015.spu,JUN24SHB100016.spu,JUN24SHB100017.spu,JUN24SHB100018.spu,JUN24SHB100019.spu,JUN24SHB100020.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,33:46 PM,33:56 PM,34:04 PM,34:15 PM,34:31 PM,35:18 PM,35:25 PM,35:35 PM,35:44 PM,35:55 PM,36:31 PM,36:40 PM,36:51 PM,36:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,
 417 , 0.01225 , 0.011702 , 0.014611 , 0.017587 , 0.016816 , 0.023706 , 0.013214 , 0.017184 , 0.025561 , 0.029266 , 0.020633 , 0.018603 , 0.034901 , 0.017099 
 418 , 0.012343 , 0.011826 , 0.014763 , 0.017791 , 0.017014 , 0.023951 , 0.01342 , 0.017322 , 0.02591 , 0.029594 , 0.020882 , 0.018823 , 0.035203 , 0.017254 
 419 , 0.012434 , 0.011943 , 0.014909 , 0.017988 , 0.01721 , 0.024192 , 0.01362 , 0.017459 , 0.026243 , 0.029912 , 0.021124 , 0.019035 , 0.035496 , 0.017402 
 420 , 0.012584 , 0.012078 , 0.01503 , 0.018126 , 0.017369 , 0.024425 , 0.01377 , 0.017658 , 0.026556 , 0.030166 , 0.021302 , 0.019279 , 0.035872 , 0.017632 
 421 , 0.012734 , 0.012214 , 0.015145 , 0.018253 , 0.017518 , 0.024653 , 0.013917 , 0.017863 , 0.026861 , 0.030406 , 0.021468 , 0.019516 , 0.03625 , 0.017863 
 422 , 0.012884 , 0.012345 , 0.015255 , 0.018378 , 0.017666 , 0.024878 , 0.014058 , 0.018066 , 0.027157 , 0.030642 , 0.021632 , 0.019753 , 0.036618 , 0.018089 
 423 , 0.012968 , 0.012453 , 0.01536 , 0.018515 , 0.017829 , 0.025115 , 0.014174 , 0.018189 , 0.027429 , 0.030898 , 0.021778 , 0.019902 , 0.036948 , 0.018294 
 424 , 0.013006 , 0.012538 , 0.015461 , 0.018661 , 0.017999 , 0.025365 , 0.014273 , 0.018252 , 0.027672 , 0.031164 , 0.021916 , 0.019986 , 0.037244 , 0.01849 
 425 , 0.013042 , 0.012623 , 0.015558 , 0.018807 , 0.018168 , 0.025615 , 0.014367 , 0.018313 , 0.027919 , 0.03143 , 0.022052 , 0.020065 , 0.03754 , 0.018678 
 426 , 0.01309 , 0.012711 , 0.015667 , 0.018957 , 0.018334 , 0.02586 , 0.014473 , 0.018389 , 0.028157 , 0.031696 , 0.022192 , 0.020166 , 0.037819 , 0.01887 
