JUN24SHB100024.spu,JUN24SHB100023.spu,JUN24SHB100022.spu,
Wavelength,JUN24SHB100025.spu,JUN24SHB100026.spu,JUN24SHB100027.spu,JUN24SHB100028.spu,JUN24SHB100029.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,42:33 PM,42:43 PM,42:48 PM,42:55 PM,43:02 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 576 , 0.069917 , 0.058433 , 0.072963 , 0.07287 , 0.035306 
 577 , 0.068774 , 0.057546 , 0.072264 , 0.072011 , 0.034968 
 578 , 0.067798 , 0.056627 , 0.071542 , 0.071163 , 0.034586 
 579 , 0.066826 , 0.055707 , 0.07082 , 0.070323 , 0.034201 
 580 , 0.06585 , 0.054788 , 0.070094 , 0.069481 , 0.033812 
 581 , 0.064782 , 0.053848 , 0.06928 , 0.068476 , 0.033368 
 582 , 0.063684 , 0.052905 , 0.068442 , 0.067434 , 0.032903 
 583 , 0.062589 , 0.051958 , 0.067607 , 0.066393 , 0.032441 
 584 , 0.061417 , 0.050977 , 0.066657 , 0.065324 , 0.031961 
 585 , 0.060151 , 0.04995 , 0.065565 , 0.064233 , 0.031448 
 586 , 0.058892 , 0.048926 , 0.064473 , 0.063143 , 0.030937 
 587 , 0.057657 , 0.047913 , 0.063404 , 0.062059 , 0.030434 
 588 , 0.056636 , 0.047017 , 0.062525 , 0.061033 , 0.02995 
 589 , 0.055617 , 0.046128 , 0.061653 , 0.060005 , 0.029468 
 590 , 0.054596 , 0.045241 , 0.060774 , 0.05898 , 0.028983 
 591 , 0.053793 , 0.044555 , 0.06013 , 0.058217 , 0.028614 
 592 , 0.053058 , 0.043924 , 0.059551 , 0.05753 , 0.028282 
 593 , 0.052322 , 0.043299 , 0.058974 , 0.056847 , 0.027952 
 594 , 0.051699 , 0.042722 , 0.058465 , 0.05625 , 0.027667 
 595 , 0.05124 , 0.042226 , 0.058065 , 0.055793 , 0.027454 
 596 , 0.050783 , 0.041738 , 0.05766 , 0.055333 , 0.027241 
 597 , 0.050322 , 0.041253 , 0.057261 , 0.054875 , 0.02703 
 598 , 0.049849 , 0.04084 , 0.05693 , 0.054429 , 0.026839 
 599 , 0.049369 , 0.040419 , 0.056603 , 0.053988 , 0.026648 
 600 , 0.048891 , 0.040005 , 0.056271 , 0.053543 , 0.026463 
 601 , 0.048443 , 0.039597 , 0.055948 , 0.053168 , 0.026296 
 602 , 0.048005 , 0.039196 , 0.055618 , 0.052825 , 0.026141 
 603 , 0.047574 , 0.038798 , 0.055289 , 0.052472 , 0.025986 
 604 , 0.047156 , 0.038378 , 0.054974 , 0.05209 , 0.025798 
 605 , 0.046774 , 0.037944 , 0.054684 , 0.051642 , 0.02555 
 606 , 0.046389 , 0.037507 , 0.054399 , 0.051196 , 0.025304 
 607 , 0.045997 , 0.037067 , 0.054105 , 0.050747 , 0.025058 
 608 , 0.045492 , 0.036651 , 0.053759 , 0.05033 , 0.02495 
 609 , 0.044986 , 0.036229 , 0.053412 , 0.049908 , 0.024837 
 610 , 0.044481 , 0.035809 , 0.053061 , 0.049491 , 0.024724 
 611 , 0.044003 , 0.035383 , 0.052713 , 0.049135 , 0.024579 
 612 , 0.043533 , 0.034953 , 0.052359 , 0.048818 , 0.024418 
 613 , 0.043065 , 0.034523 , 0.052001 , 0.048491 , 0.024258 
 614 , 0.042635 , 0.034172 , 0.051706 , 0.048189 , 0.024123 
 615 , 0.0423 , 0.033969 , 0.051526 , 0.047914 , 0.024029 
 616 , 0.04196 , 0.03377 , 0.051347 , 0.047635 , 0.023937 
 617 , 0.041619 , 0.033566 , 0.051167 , 0.047356 , 0.023845 
