  time  ,:22:36 A,:22:54 A,:23:04 A,:23:12 A,:23:22 A,:24:01 A,:24:13 A,:24:21 A,:24:29 A,:24:41 A,:25:14 A,:25:33 A,:25:43 A,:25:56 A,:26:08 A,:26:44 A,:26:57 A,:27:05 A,:27:15 A,:27:25 A,:27:48 A,:27:57 A,:28:06 A,:28:16 A,:28:25 A,:28:48 A,:28:58 A,:29:10 A,:29:19 A,:29:33 A,:30:02 A,:30:14 A,:30:22 A,:30:34 A,:30:46 A,:31:13 A,:31:28 A,:31:38 A,:31:47 A,:31:58 A,:32:57 A,:33:09 A,:33:21 A,:33:32 A,:33:43 A,:34:21 A,:34:31 A,:34:42 A,:34:55 A,:35:07 A,:35:42 A,:35:51 A,:36:04 A,:36:14 A,:36:23 A,:36:50 A,:37:01 A,:37:14 A,:37:25 A,:37:34 A,:38:00 A,:38:11 A,:38:28 A,:38:38 A,:38:49 A,:39:13 A,:39:25 A,:39:43 A,:39:54 A,:40:08 A,:40:39 A,:40:51 A,:41:01 A,:41:11 A,:41:21 A,:42:16 A,:42:27 A,:42:39 A,:42:52 A,:43:04 A,:45:00 A,:45:13 A,:45:25 A,:45:39 A,:45:57 A,:46:39 A,:46:52 A,:47:06 A,:47:17 A,:47:26 A,:47:55 A,:48:07 A,:48:19 A,:48:31 A,:48:40 A,:49:15 A,:49:26 A,:49:35 A,:49:47 A,:50:00 A,:50:28 A,:50:37 A,:50:47 A,:50:57 A,:51:09 A,:51:38 A,:51:50 A,:51:59 A,:52:09 A,:52:18 A,:52:45 A,:52:55 A,:53:05 A,:53:17 A,:53:28 A,:54:01 A,:54:12 A,:54:23 A,:54:31 A,:54:41 A,:00:16 P,:00:27 P,:00:37 P,:00:47 P,:00:57 P,:01:25 P,:01:37 P,:01:48 P,:01:59 P,:02:09 P,:02:38 P,:02:52 P,:03:01 P,:03:10 P,:03:20 P,:03:50 P,:04:02 P,:04:13 P,:04:24 P,:04:34 P,:05:04 P,:05:14 P,:05:23 P,:05:32 P,:05:40 P,:06:09 P,:06:28 P,:06:39 P,:06:50 P,:07:00 P,:07:31 P,:07:41 P,:07:52 P,:08:03 P,:08:13 P,:08:42 P,:08:53 P,:09:05 P,:09:17 P,:09:38 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 435 , 0.038928 , 0.038457 , 0.035738 , 0.041072 , 0.050046 , 0.038269 , 0.029651 , 0.056614 , 0.04058 , 0.037725 , 0.066874 , 0.074509 , 0.047849 , 0.097341 , 0.03556 , 0.054972 , 0.049544 , 0.038112 , 0.038384 , 0.037913 , 0.047295 , 0.051782 , 0.041804 , 0.030352 , 0.034587 , 0.04126 , 0.032015 , 0.049648 , 0.031209 , 0.047054 , 0.026953 , 0.026848 , 0.035665 , 0.028228 , 0.029023 , 0.049742 , 0.032485 , 0.034776 , 0.033353 , 0.039555 , 0.041605 , 0.025687 , 0.023062 , 0.065473 , 0.040664 , 0.052995 , 0.043059 , 0.046301 , 0.044764 , 0.037474 , 0.029693 , 0.036951 , 0.042118 , 0.040078 , 0.032945 , 0.031513 , 0.047776 , 0.049335 , 0.034692 , 0.032203 , 0.03214 , 0.041344 , 0.041386 , 0.042107 , 0.026534 , 0.051426 , 0.063308 , 0.03214 , 0.055673 , 0.054689 , 0.042358 , 0.070597 , 0.037798 , 0.075304 , 0.056813 , 0.032851 , 0.028626 , 0.030749 , 0.02895 , 0.040716 , 0.05789 , 0.037704 , 0.035372 , 0.056938 , 0.044952 , 0.044356 , 0.032266 , 0.031147 , 0.045778 , 0.027329 , 0.065943 , 0.032287 , 0.038436 , 0.042076 , 0.031941 , 0.04012 , 0.032088 , 0.033709 , 0.040329 , 0.042306 , 0.039555 , 0.034493 , 0.042442 , 0.044126 , 0.043645 , 0.053717 , 0.055578 , 0.035393 , 0.065473 , 0.037589 , 0.039859 , 0.046803 , 0.040946 , 0.047745 , 0.044973 , 0.056436 , 0.063872 , 0.038656 , 0.038991 , 0.053706 , 0.046887 , 0.055359 , 0.058779 , 0.047054 , 0.043143 , 0.057179 , 0.041741 , 0.066592 , 0.0449 , 0.041626 , 0.04923 , 0.077584 , 0.087949 , 0.039064 , 0.054658 , 0.04923 , 0.046741 , 0.041773 , 0.057963 , 0.048749 , 0.06222 , 0.04786 , 0.056562 , 0.055463 , 0.038562 , 0.055986 , 0.04854 , 0.048362 , 0.056687 , 0.033489 , 0.058904 , 0.053905 , 0.044837 , 0.051322 , 0.055976 , 0.077929 , 0.061028 , 0.08251 , 0.060034 , 0.042944 
 436 , 0.039143 , 0.038725 , 0.035975 , 0.04136 , 0.050372 , 0.038474 , 0.029828 , 0.057042 , 0.040847 , 0.037941 , 0.067372 , 0.075014 , 0.048208 , 0.097994 , 0.035714 , 0.055286 , 0.049922 , 0.038391 , 0.038652 , 0.038223 , 0.047664 , 0.05217 , 0.042081 , 0.030539 , 0.034773 , 0.041485 , 0.032233 , 0.049985 , 0.031333 , 0.047298 , 0.02711 , 0.026974 , 0.03584 , 0.028396 , 0.02918 , 0.050069 , 0.032661 , 0.034961 , 0.033529 , 0.039791 , 0.041882 , 0.025834 , 0.023158 , 0.065897 , 0.040879 , 0.053446 , 0.043346 , 0.046535 , 0.045061 , 0.037606 , 0.029901 , 0.037157 , 0.042353 , 0.040408 , 0.033153 , 0.031678 , 0.048114 , 0.049598 , 0.034857 , 0.0324 , 0.0324 , 0.041537 , 0.041663 , 0.042342 , 0.026618 , 0.051626 , 0.063587 , 0.032243 , 0.056007 , 0.05493 , 0.042593 , 0.071041 , 0.038056 , 0.07584 , 0.057178 , 0.033069 , 0.028751 , 0.030894 , 0.029148 , 0.040973 , 0.058161 , 0.03792 , 0.035536 , 0.057241 , 0.04527 , 0.044726 , 0.03241 , 0.031333 , 0.045981 , 0.027444 , 0.066389 , 0.032483 , 0.038704 , 0.04229 , 0.032055 , 0.040367 , 0.032285 , 0.033884 , 0.040607 , 0.042552 , 0.039802 , 0.034742 , 0.042677 , 0.044423 , 0.043921 , 0.05401 , 0.055955 , 0.035568 , 0.06595 , 0.037795 , 0.040074 , 0.047099 , 0.041213 , 0.048124 , 0.045301 , 0.056739 , 0.064298 , 0.038788 , 0.039164 , 0.054 , 0.047183 , 0.055693 , 0.059185 , 0.04734 , 0.043513 , 0.057544 , 0.041945 , 0.06687 , 0.045144 , 0.041956 , 0.049546 , 0.078088 , 0.088553 , 0.039248 , 0.054983 , 0.049588 , 0.046984 , 0.042071 , 0.058286 , 0.049023 , 0.062562 , 0.048145 , 0.056875 , 0.055767 , 0.038788 , 0.056342 , 0.048856 , 0.04872 , 0.057178 , 0.033665 , 0.05929 , 0.054282 , 0.045124 , 0.051668 , 0.056352 , 0.078569 , 0.061402 , 0.083127 , 0.060534 , 0.043231 
 437 , 0.039425 , 0.039016 , 0.036179 , 0.041665 , 0.05072 , 0.038692 , 0.029993 , 0.057399 , 0.0411 , 0.038189 , 0.067826 , 0.075573 , 0.048543 , 0.098708 , 0.035918 , 0.055567 , 0.050323 , 0.038681 , 0.038912 , 0.038566 , 0.048019 , 0.052573 , 0.042356 , 0.030746 , 0.034923 , 0.041728 , 0.03239 , 0.050354 , 0.03149 , 0.047548 , 0.02725 , 0.027145 , 0.036054 , 0.0286 , 0.029364 , 0.050406 , 0.032819 , 0.035195 , 0.033677 , 0.040011 , 0.042147 , 0.025952 , 0.02323 , 0.066298 , 0.041068 , 0.05383 , 0.04357 , 0.046836 , 0.045371 , 0.037854 , 0.030045 , 0.037383 , 0.042691 , 0.040723 , 0.033342 , 0.031804 , 0.04847 , 0.049925 , 0.035017 , 0.032505 , 0.032652 , 0.041686 , 0.041916 , 0.042576 , 0.026705 , 0.051799 , 0.063932 , 0.032327 , 0.056352 , 0.055117 , 0.042806 , 0.071501 , 0.038326 , 0.0764 , 0.057567 , 0.033259 , 0.028872 , 0.031039 , 0.029333 , 0.041246 , 0.058488 , 0.038158 , 0.03575 , 0.057567 , 0.045507 , 0.045067 , 0.032495 , 0.031521 , 0.046187 , 0.027564 , 0.066779 , 0.03262 , 0.038922 , 0.042523 , 0.032149 , 0.040608 , 0.032432 , 0.034033 , 0.040869 , 0.042806 , 0.040053 , 0.035007 , 0.042869 , 0.04468 , 0.044188 , 0.05429 , 0.0563 , 0.035708 , 0.066402 , 0.037991 , 0.040356 , 0.047381 , 0.041445 , 0.048522 , 0.045591 , 0.057064 , 0.064717 , 0.038964 , 0.03932 , 0.05428 , 0.047538 , 0.05608 , 0.059629 , 0.047643 , 0.043884 , 0.057986 , 0.042147 , 0.067187 , 0.045444 , 0.042241 , 0.049872 , 0.078651 , 0.089119 , 0.039435 , 0.055285 , 0.049977 , 0.047276 , 0.042387 , 0.058624 , 0.049265 , 0.062937 , 0.048491 , 0.057253 , 0.056091 , 0.039058 , 0.05675 , 0.049202 , 0.049087 , 0.057787 , 0.033876 , 0.059681 , 0.054636 , 0.045413 , 0.051977 , 0.056729 , 0.079268 , 0.061775 , 0.083822 , 0.061021 , 0.043507 
 438 , 0.03969 , 0.039292 , 0.036389 , 0.041954 , 0.051051 , 0.038904 , 0.030153 , 0.057748 , 0.041346 , 0.038432 , 0.06827 , 0.07611 , 0.048871 , 0.099398 , 0.036106 , 0.055841 , 0.050705 , 0.038956 , 0.039155 , 0.038893 , 0.048368 , 0.052979 , 0.042625 , 0.030949 , 0.035068 , 0.041964 , 0.032542 , 0.050705 , 0.03163 , 0.047802 , 0.027386 , 0.027323 , 0.036273 , 0.028811 , 0.029545 , 0.050736 , 0.032972 , 0.035414 , 0.033821 , 0.040214 , 0.042404 , 0.026076 , 0.023298 , 0.066688 , 0.041262 , 0.054206 , 0.043777 , 0.047131 , 0.045664 , 0.038086 , 0.030195 , 0.037594 , 0.043012 , 0.041021 , 0.033517 , 0.031924 , 0.048808 , 0.050244 , 0.035173 , 0.032605 , 0.032888 , 0.041828 , 0.042153 , 0.042803 , 0.026778 , 0.051963 , 0.064256 , 0.032427 , 0.056679 , 0.055306 , 0.043002 , 0.07196 , 0.038579 , 0.076938 , 0.057958 , 0.033444 , 0.028979 , 0.03118 , 0.029513 , 0.041514 , 0.058807 , 0.03839 , 0.035969 , 0.057895 , 0.045737 , 0.045402 , 0.032574 , 0.031704 , 0.046387 , 0.027679 , 0.06716 , 0.032741 , 0.039134 , 0.04274 , 0.032228 , 0.040843 , 0.032574 , 0.034188 , 0.041115 , 0.043044 , 0.040298 , 0.035267 , 0.043054 , 0.04493 , 0.044438 , 0.054562 , 0.056616 , 0.035854 , 0.066856 , 0.038191 , 0.040623 , 0.047655 , 0.041671 , 0.048902 , 0.045873 , 0.057381 , 0.065116 , 0.039134 , 0.03947 , 0.054562 , 0.047865 , 0.056459 , 0.060064 , 0.047938 , 0.044259 , 0.058419 , 0.042342 , 0.067495 , 0.045727 , 0.042509 , 0.050181 , 0.079202 , 0.089661 , 0.039617 , 0.055568 , 0.050349 , 0.04755 , 0.042687 , 0.058953 , 0.0495 , 0.063303 , 0.048819 , 0.057601 , 0.056406 , 0.039313 , 0.05714 , 0.049531 , 0.049437 , 0.058377 , 0.034083 , 0.060054 , 0.054981 , 0.045685 , 0.052267 , 0.057098 , 0.079946 , 0.062139 , 0.084484 , 0.06149 , 0.043777 
 439 , 0.039954 , 0.039566 , 0.036576 , 0.042241 , 0.05138 , 0.039115 , 0.030312 , 0.058084 , 0.04158 , 0.038663 , 0.068692 , 0.076634 , 0.049187 , 0.100053 , 0.036292 , 0.056101 , 0.051076 , 0.03922 , 0.039387 , 0.03922 , 0.048694 , 0.053363 , 0.042881 , 0.031141 , 0.035212 , 0.042189 , 0.032693 , 0.051034 , 0.03177 , 0.048033 , 0.027521 , 0.027479 , 0.036481 , 0.029 , 0.029714 , 0.051055 , 0.033124 , 0.035631 , 0.033963 , 0.040416 , 0.04265 , 0.026188 , 0.023366 , 0.067066 , 0.041444 , 0.054559 , 0.043983 , 0.047414 , 0.045955 , 0.038317 , 0.030333 , 0.037803 , 0.043322 , 0.041318 , 0.03368 , 0.032043 , 0.049135 , 0.050551 , 0.035327 , 0.032704 , 0.033124 , 0.041968 , 0.042388 , 0.043028 , 0.026849 , 0.052114 , 0.064569 , 0.032505 , 0.057004 , 0.055482 , 0.043196 , 0.072385 , 0.038821 , 0.077453 , 0.058326 , 0.033617 , 0.029084 , 0.031319 , 0.029693 , 0.041769 , 0.059113 , 0.038622 , 0.036166 , 0.0582 , 0.045966 , 0.045735 , 0.032651 , 0.031875 , 0.046575 , 0.027794 , 0.067527 , 0.032861 , 0.039335 , 0.042944 , 0.032316 , 0.041066 , 0.032714 , 0.03433 , 0.04136 , 0.04327 , 0.040531 , 0.035516 , 0.043238 , 0.045169 , 0.044686 , 0.054821 , 0.05693 , 0.035998 , 0.067286 , 0.03837 , 0.040877 , 0.047918 , 0.041885 , 0.049271 , 0.046144 , 0.057675 , 0.065502 , 0.039303 , 0.039618 , 0.054821 , 0.04819 , 0.056825 , 0.060477 , 0.048222 , 0.044613 , 0.058829 , 0.042525 , 0.0678 , 0.045997 , 0.042776 , 0.050478 , 0.079719 , 0.09018 , 0.039797 , 0.05585 , 0.050708 , 0.047823 , 0.042986 , 0.05927 , 0.049722 , 0.063656 , 0.049145 , 0.057948 , 0.05671 , 0.039566 , 0.057518 , 0.049859 , 0.049785 , 0.058955 , 0.034278 , 0.060414 , 0.055304 , 0.045955 , 0.052555 , 0.057455 , 0.0806 , 0.062491 , 0.085133 , 0.061945 , 0.044025 
 440 , 0.040231 , 0.039894 , 0.036878 , 0.042606 , 0.051749 , 0.039379 , 0.030499 , 0.058538 , 0.041902 , 0.038948 , 0.069216 , 0.077214 , 0.049574 , 0.100766 , 0.036521 , 0.056468 , 0.051528 , 0.03959 , 0.039695 , 0.039611 , 0.04909 , 0.053819 , 0.043205 , 0.031382 , 0.035438 , 0.04248 , 0.032937 , 0.051455 , 0.03197 , 0.048365 , 0.027703 , 0.027682 , 0.036731 , 0.029238 , 0.029931 , 0.051402 , 0.033357 , 0.03589 , 0.034177 , 0.040683 , 0.042953 , 0.026379 , 0.02351 , 0.067566 , 0.041691 , 0.055018 , 0.044277 , 0.047755 , 0.046337 , 0.03857 , 0.030562 , 0.038087 , 0.043657 , 0.041681 , 0.033925 , 0.032222 , 0.049521 , 0.050866 , 0.035575 , 0.032895 , 0.033462 , 0.042217 , 0.0427 , 0.043341 , 0.02702 , 0.052359 , 0.06496 , 0.032664 , 0.057403 , 0.055795 , 0.043457 , 0.072915 , 0.039117 , 0.078055 , 0.058706 , 0.033862 , 0.029248 , 0.031518 , 0.029931 , 0.042059 , 0.059453 , 0.038906 , 0.036437 , 0.05857 , 0.046295 , 0.046158 , 0.032811 , 0.032149 , 0.046852 , 0.027934 , 0.067986 , 0.033053 , 0.039569 , 0.043215 , 0.032496 , 0.041355 , 0.032926 , 0.034555 , 0.041691 , 0.043562 , 0.040809 , 0.035838 , 0.04352 , 0.045517 , 0.045002 , 0.055175 , 0.05733 , 0.036226 , 0.067787 , 0.038644 , 0.041155 , 0.048228 , 0.042206 , 0.049668 , 0.046484 , 0.058044 , 0.065979 , 0.039505 , 0.039831 , 0.055186 , 0.048575 , 0.057225 , 0.060934 , 0.048565 , 0.045055 , 0.059274 , 0.042753 , 0.068155 , 0.046337 , 0.043121 , 0.050814 , 0.080304 , 0.090782 , 0.04002 , 0.056237 , 0.05115 , 0.048144 , 0.043362 , 0.059652 , 0.049994 , 0.064129 , 0.0495 , 0.058349 , 0.057067 , 0.039873 , 0.05795 , 0.050267 , 0.050141 , 0.059631 , 0.034524 , 0.06084 , 0.055701 , 0.046347 , 0.052937 , 0.057887 , 0.081334 , 0.06291 , 0.085853 , 0.062511 , 0.044403 
 441 , 0.040506 , 0.040233 , 0.037213 , 0.043 , 0.052143 , 0.039686 , 0.030701 , 0.059044 , 0.042242 , 0.039233 , 0.069776 , 0.077824 , 0.049975 , 0.101476 , 0.036771 , 0.056877 , 0.051995 , 0.040001 , 0.040022 , 0.040022 , 0.049502 , 0.054299 , 0.043568 , 0.031626 , 0.035688 , 0.0428 , 0.033215 , 0.051901 , 0.032184 , 0.048734 , 0.027891 , 0.027891 , 0.037003 , 0.02948 , 0.030174 , 0.051764 , 0.033636 , 0.036161 , 0.034425 , 0.040969 , 0.043273 , 0.026608 , 0.023693 , 0.068124 , 0.041969 , 0.055509 , 0.044609 , 0.048113 , 0.046735 , 0.038844 , 0.030816 , 0.038402 , 0.043999 , 0.042074 , 0.034183 , 0.032437 , 0.049944 , 0.051185 , 0.035856 , 0.03311 , 0.033846 , 0.042505 , 0.043042 , 0.043694 , 0.027229 , 0.052637 , 0.065368 , 0.032847 , 0.057834 , 0.056151 , 0.043747 , 0.073469 , 0.039423 , 0.078687 , 0.059086 , 0.03412 , 0.029438 , 0.031732 , 0.030206 , 0.042368 , 0.059823 , 0.039212 , 0.036729 , 0.058971 , 0.046651 , 0.046619 , 0.033005 , 0.032458 , 0.047156 , 0.028091 , 0.068492 , 0.033257 , 0.039822 , 0.043515 , 0.032721 , 0.041664 , 0.033173 , 0.034804 , 0.042053 , 0.043862 , 0.041106 , 0.036182 , 0.043841 , 0.045893 , 0.045346 , 0.055572 , 0.057761 , 0.036487 , 0.068313 , 0.038939 , 0.041432 , 0.048565 , 0.042558 , 0.05008 , 0.04684 , 0.058434 , 0.066493 , 0.039717 , 0.040075 , 0.055593 , 0.048976 , 0.057645 , 0.061401 , 0.048923 , 0.045546 , 0.059728 , 0.043 , 0.068545 , 0.046693 , 0.043484 , 0.051164 , 0.080907 , 0.091418 , 0.040264 , 0.056667 , 0.051616 , 0.048481 , 0.043778 , 0.060054 , 0.050291 , 0.064652 , 0.04988 , 0.05876 , 0.057456 , 0.040201 , 0.058403 , 0.050712 , 0.050512 , 0.060349 , 0.034804 , 0.061296 , 0.056109 , 0.046787 , 0.053352 , 0.058329 , 0.082086 , 0.063358 , 0.086599 , 0.063105 , 0.044809 
 442 , 0.040771 , 0.04056 , 0.037537 , 0.043383 , 0.052525 , 0.03997 , 0.030902 , 0.059529 , 0.042582 , 0.039528 , 0.070324 , 0.078413 , 0.050366 , 0.102174 , 0.037011 , 0.057285 , 0.05244 , 0.040391 , 0.040339 , 0.040434 , 0.049902 , 0.054768 , 0.043909 , 0.031881 , 0.035936 , 0.043109 , 0.033482 , 0.052335 , 0.032397 , 0.049091 , 0.028079 , 0.02809 , 0.037274 , 0.029722 , 0.030396 , 0.052103 , 0.033904 , 0.036421 , 0.034662 , 0.041255 , 0.043593 , 0.026836 , 0.023856 , 0.068671 , 0.042235 , 0.05599 , 0.044931 , 0.048459 , 0.047132 , 0.039096 , 0.03106 , 0.038717 , 0.044331 , 0.042456 , 0.034441 , 0.03264 , 0.050345 , 0.051493 , 0.036136 , 0.033335 , 0.034209 , 0.042793 , 0.043372 , 0.044025 , 0.027426 , 0.052893 , 0.065764 , 0.033019 , 0.058265 , 0.056495 , 0.044015 , 0.074 , 0.039717 , 0.079308 , 0.059466 , 0.034378 , 0.029627 , 0.031945 , 0.030459 , 0.042677 , 0.060171 , 0.039517 , 0.037021 , 0.05936 , 0.047006 , 0.047069 , 0.033198 , 0.032745 , 0.047448 , 0.028237 , 0.068966 , 0.033472 , 0.040065 , 0.043793 , 0.032945 , 0.041971 , 0.033419 , 0.035041 , 0.042414 , 0.044162 , 0.041403 , 0.036516 , 0.044162 , 0.046269 , 0.045679 , 0.055958 , 0.058181 , 0.036747 , 0.068829 , 0.039233 , 0.041708 , 0.048891 , 0.042898 , 0.050471 , 0.047195 , 0.058813 , 0.066996 , 0.039928 , 0.040318 , 0.05599 , 0.049365 , 0.058054 , 0.061867 , 0.049281 , 0.046016 , 0.060182 , 0.043235 , 0.068913 , 0.047037 , 0.043846 , 0.051493 , 0.081499 , 0.092031 , 0.040497 , 0.057085 , 0.052061 , 0.048817 , 0.044183 , 0.060445 , 0.050566 , 0.065153 , 0.050239 , 0.05916 , 0.057822 , 0.040518 , 0.058844 , 0.051134 , 0.050871 , 0.061035 , 0.035073 , 0.06173 , 0.056516 , 0.047206 , 0.053768 , 0.05876 , 0.082816 , 0.063784 , 0.087324 , 0.0637 , 0.045215 
 443 , 0.041034 , 0.040865 , 0.03784 , 0.043711 , 0.052902 , 0.040222 , 0.031073 , 0.059975 , 0.0429 , 0.03979 , 0.070842 , 0.078979 , 0.050731 , 0.102854 , 0.037229 , 0.057646 , 0.052881 , 0.04076 , 0.040623 , 0.040802 , 0.050278 , 0.0552 , 0.044238 , 0.032106 , 0.036164 , 0.043405 , 0.033729 , 0.052755 , 0.032591 , 0.049403 , 0.028248 , 0.028269 , 0.037513 , 0.029914 , 0.03062 , 0.052439 , 0.03413 , 0.03667 , 0.034878 , 0.041519 , 0.04389 , 0.027026 , 0.024001 , 0.069156 , 0.042488 , 0.056433 , 0.045218 , 0.048781 , 0.047495 , 0.039316 , 0.031284 , 0.038989 , 0.044649 , 0.042805 , 0.034667 , 0.032823 , 0.050742 , 0.051785 , 0.036386 , 0.033529 , 0.03453 , 0.043037 , 0.04368 , 0.044333 , 0.027595 , 0.053145 , 0.066131 , 0.033171 , 0.058647 , 0.056781 , 0.04427 , 0.074521 , 0.03999 , 0.079896 , 0.059838 , 0.034604 , 0.029787 , 0.032138 , 0.030694 , 0.042973 , 0.060513 , 0.03978 , 0.037271 , 0.059733 , 0.047348 , 0.047485 , 0.033371 , 0.033002 , 0.047695 , 0.028364 , 0.06943 , 0.033666 , 0.040307 , 0.044048 , 0.033129 , 0.042235 , 0.033635 , 0.035247 , 0.042741 , 0.044438 , 0.041687 , 0.036839 , 0.044449 , 0.04661 , 0.045998 , 0.056296 , 0.058573 , 0.036965 , 0.069335 , 0.039484 , 0.041961 , 0.049203 , 0.043205 , 0.050868 , 0.047527 , 0.059163 , 0.067459 , 0.040127 , 0.040528 , 0.056339 , 0.04973 , 0.058447 , 0.062326 , 0.049614 , 0.046452 , 0.060607 , 0.043458 , 0.069272 , 0.047348 , 0.044185 , 0.051817 , 0.082057 , 0.09264 , 0.040697 , 0.057466 , 0.052502 , 0.049139 , 0.044554 , 0.060818 , 0.050826 , 0.065604 , 0.050584 , 0.059553 , 0.058173 , 0.040802 , 0.059258 , 0.051532 , 0.051237 , 0.061704 , 0.03531 , 0.062125 , 0.056908 , 0.047569 , 0.054146 , 0.059174 , 0.083512 , 0.064181 , 0.088034 , 0.064244 , 0.045577 
 444 , 0.041273 , 0.041126 , 0.038081 , 0.043949 , 0.053251 , 0.04042 , 0.031224 , 0.060372 , 0.04317 , 0.04002 , 0.071317 , 0.079544 , 0.051081 , 0.103521 , 0.037428 , 0.057928 , 0.053282 , 0.041073 , 0.040841 , 0.041126 , 0.050628 , 0.055568 , 0.044507 , 0.032309 , 0.036364 , 0.043665 , 0.033931 , 0.053156 , 0.032772 , 0.049638 , 0.0284 , 0.028422 , 0.037713 , 0.030054 , 0.030802 , 0.052766 , 0.034279 , 0.03687 , 0.035058 , 0.041758 , 0.04417 , 0.027157 , 0.024081 , 0.069537 , 0.042696 , 0.056822 , 0.045466 , 0.049048 , 0.047773 , 0.039461 , 0.031455 , 0.039198 , 0.044939 , 0.043127 , 0.034847 , 0.032962 , 0.051091 , 0.05205 , 0.036575 , 0.03371 , 0.034774 , 0.043243 , 0.043939 , 0.044571 , 0.027695 , 0.053356 , 0.06644 , 0.033288 , 0.05895 , 0.05698 , 0.044476 , 0.074994 , 0.040241 , 0.080429 , 0.060225 , 0.034795 , 0.029917 , 0.032298 , 0.030876 , 0.043264 , 0.060825 , 0.039978 , 0.037481 , 0.060088 , 0.047647 , 0.047836 , 0.03352 , 0.033183 , 0.047868 , 0.028443 , 0.069842 , 0.033847 , 0.040557 , 0.044255 , 0.033246 , 0.042453 , 0.033805 , 0.035416 , 0.043012 , 0.044676 , 0.041969 , 0.037133 , 0.044697 , 0.046888 , 0.046298 , 0.05659 , 0.058887 , 0.037123 , 0.069821 , 0.039672 , 0.04219 , 0.04948 , 0.043454 , 0.051239 , 0.047794 , 0.059487 , 0.067862 , 0.040315 , 0.040705 , 0.056611 , 0.050038 , 0.058802 , 0.062795 , 0.049901 , 0.046835 , 0.061025 , 0.043675 , 0.0696 , 0.047594 , 0.044497 , 0.052113 , 0.082557 , 0.093239 , 0.040831 , 0.05776 , 0.052924 , 0.049427 , 0.044876 , 0.061162 , 0.051049 , 0.065966 , 0.050891 , 0.05993 , 0.058476 , 0.041042 , 0.059656 , 0.051871 , 0.051608 , 0.06231 , 0.035511 , 0.062426 , 0.057275 , 0.047815 , 0.054473 , 0.05955 , 0.084169 , 0.064512 , 0.088699 , 0.064744 , 0.045856 
