TEST_00013.spu,TEST_00012.spu,TEST_00011.spu,
Wavelength,SHB1_00001.spu,SHB1_00002.spu,SHB1_00003.spu,SHB1_00004.spu,SHB1_00005.spu,SHB1_00006.spu,SHB1_00007.spu,SHB1_00008.spu,SHB1_00009.spu,SHB1_00010.spu,SHB1_00011.spu,SHB1_00012.spu,SHB1_00013.spu,SHB1_00014.spu,SHB1_00015.spu,SHB1_00016.spu,SHB1_00017.spu,SHB1_00018.spu,SHB1_00019.spu,SHB1_00020.spu
  (nm),8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5
  time  ,4:17 PM",4:44 PM",5:12 PM",5:33 PM",6:06 PM",7:23 PM",7:45 PM",8:31 PM",8:58 PM",9:19 PM",0:41 PM",1:02 PM",1:30 PM",3:47 PM",4:21 PM",5:28 PM",5:40 PM",5:55 PM",6:15 PM",6:31 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 377 , 0.01423 , 0.017515 , 0.01145 , 0.016098 , 0.011507 , 0.014122 , 0.013631 , 0.009818 , 0.015221 , 0.013931 , 0.011873 , 0.011189 , 0.013899 , 0.007926 , 0.013501 , 0.011243 , 0.016519 , 0.015462 , 0.016616 , 0.017088 
 378 , 0.01409 , 0.016801 , 0.011328 , 0.015722 , 0.011457 , 0.013824 , 0.013128 , 0.009829 , 0.014713 , 0.013615 , 0.011696 , 0.010889 , 0.013558 , 0.007706 , 0.013693 , 0.011129 , 0.016261 , 0.01527 , 0.016389 , 0.016808 
 379 , 0.01388 , 0.016224 , 0.011089 , 0.015279 , 0.011272 , 0.013528 , 0.012646 , 0.009772 , 0.014307 , 0.013226 , 0.011523 , 0.010568 , 0.013291 , 0.007512 , 0.013727 , 0.010961 , 0.015968 , 0.015024 , 0.016137 , 0.01655 
 380 , 0.013505 , 0.015847 , 0.010584 , 0.014659 , 0.010816 , 0.013201 , 0.012163 , 0.009558 , 0.014087 , 0.012672 , 0.011336 , 0.010167 , 0.013142 , 0.007348 , 0.013429 , 0.010675 , 0.01559 , 0.014646 , 0.015827 , 0.016285 
 381 , 0.013203 , 0.01555 , 0.010142 , 0.014135 , 0.010422 , 0.012942 , 0.011761 , 0.009382 , 0.013941 , 0.012186 , 0.011196 , 0.009801 , 0.013033 , 0.007209 , 0.013167 , 0.010423 , 0.015259 , 0.014316 , 0.015568 , 0.01606 
 382 , 0.012942 , 0.015297 , 0.009732 , 0.013659 , 0.010057 , 0.012722 , 0.011398 , 0.009222 , 0.013835 , 0.011736 , 0.011081 , 0.009452 , 0.012946 , 0.007084 , 0.012922 , 0.01019 , 0.014955 , 0.014012 , 0.015336 , 0.015856 
 383 , 0.012804 , 0.015077 , 0.009794 , 0.01357 , 0.009921 , 0.01263 , 0.011567 , 0.009251 , 0.013663 , 0.011781 , 0.011133 , 0.009441 , 0.012725 , 0.007337 , 0.012869 , 0.010347 , 0.014954 , 0.013972 , 0.01501 , 0.01566 
 384 , 0.012724 , 0.01492 , 0.009913 , 0.01355 , 0.009829 , 0.012583 , 0.011793 , 0.009319 , 0.013537 , 0.011885 , 0.011218 , 0.009474 , 0.012546 , 0.007621 , 0.012866 , 0.010534 , 0.015001 , 0.013974 , 0.014703 , 0.015485 
 385 , 0.012675 , 0.014802 , 0.010051 , 0.013558 , 0.00976 , 0.012558 , 0.012038 , 0.009408 , 0.013441 , 0.012014 , 0.011319 , 0.009525 , 0.012397 , 0.007914 , 0.012889 , 0.010728 , 0.01507 , 0.013995 , 0.014412 , 0.015326 
 386 , 0.012707 , 0.014703 , 0.010022 , 0.013475 , 0.009669 , 0.012506 , 0.011945 , 0.009386 , 0.013377 , 0.011976 , 0.011217 , 0.009571 , 0.012244 , 0.007886 , 0.012826 , 0.010705 , 0.015188 , 0.01399 , 0.014398 , 0.015236 
