spu_filename,DateTime,Site,FileNum,Date,Integration_ms,Temp,Remarks,Type
2019-06-02_MAT_00076.spu,2019-06-02T19:46:46Z,MAT,76,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00077.spu,2019-06-02T19:46:58Z,MAT,77,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00078.spu,2019-06-02T19:47:15Z,MAT,78,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00079.spu,2019-06-02T19:47:37Z,MAT,79,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00080.spu,2019-06-02T19:47:51Z,MAT,80,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00081.spu,2019-06-02T19:49:24Z,MAT,81,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00082.spu,2019-06-02T19:49:34Z,MAT,82,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00083.spu,2019-06-02T19:49:44Z,MAT,83,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00084.spu,2019-06-02T19:49:58Z,MAT,84,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00085.spu,2019-06-02T19:50:08Z,MAT,85,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00086.spu,2019-06-02T19:51:01Z,MAT,86,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00087.spu,2019-06-02T19:51:10Z,MAT,87,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00088.spu,2019-06-02T19:51:20Z,MAT,88,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00089.spu,2019-06-02T19:51:29Z,MAT,89,2019-06-02,50,22.936,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00090.spu,2019-06-02T19:51:43Z,MAT,90,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00091.spu,2019-06-02T19:52:41Z,MAT,91,2019-06-02,50,23.668,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00092.spu,2019-06-02T19:52:53Z,MAT,92,2019-06-02,50,23.668,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
