WSG1_00009.spu,WSG1_00008.spu,WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 685 , 0.079454 , 0.066088 , 0.062234 , 0.077861 , 0.069206 
 686 , 0.080366 , 0.067118 , 0.063233 , 0.078424 , 0.069762 
 687 , 0.081306 , 0.06816 , 0.06425 , 0.079002 , 0.070326 
 688 , 0.082718 , 0.069712 , 0.065746 , 0.079852 , 0.071202 
 689 , 0.084155 , 0.071284 , 0.067262 , 0.080723 , 0.072089 
 690 , 0.085591 , 0.072857 , 0.068786 , 0.081597 , 0.072987 
 691 , 0.087352 , 0.074704 , 0.070588 , 0.082653 , 0.074053 
 692 , 0.089286 , 0.076693 , 0.072541 , 0.083816 , 0.075214 
 693 , 0.091195 , 0.078664 , 0.074469 , 0.084964 , 0.076367 
 694 , 0.093204 , 0.0807 , 0.076478 , 0.086161 , 0.07758 
 695 , 0.095474 , 0.08295 , 0.078712 , 0.087501 , 0.078956 
 696 , 0.097717 , 0.085164 , 0.080916 , 0.088817 , 0.080313 
 697 , 0.099924 , 0.08735 , 0.083092 , 0.090122 , 0.081653 
 698 , 0.102447 , 0.089804 , 0.085569 , 0.091628 , 0.083212 
 699 , 0.104945 , 0.092234 , 0.088025 , 0.093129 , 0.084749 
 700 , 0.107409 , 0.094632 , 0.090448 , 0.094609 , 0.086265 
 701 , 0.110021 , 0.09713 , 0.092981 , 0.096187 , 0.087905 
 702 , 0.1127 , 0.099661 , 0.095572 , 0.09782 , 0.089605 
 703 , 0.115333 , 0.102161 , 0.098117 , 0.099428 , 0.091273 
 704 , 0.117949 , 0.104624 , 0.100645 , 0.101048 , 0.092956 
 705 , 0.120573 , 0.10708 , 0.103152 , 0.102743 , 0.094717 
 706 , 0.123175 , 0.109501 , 0.105635 , 0.10442 , 0.09645 
 707 , 0.12574 , 0.111895 , 0.108089 , 0.106076 , 0.098168 
 708 , 0.128201 , 0.114158 , 0.110418 , 0.10763 , 0.099811 
 709 , 0.130682 , 0.116425 , 0.112767 , 0.109204 , 0.101462 
 710 , 0.133165 , 0.118704 , 0.115127 , 0.110782 , 0.103124 
 711 , 0.135459 , 0.120835 , 0.117337 , 0.112262 , 0.104708 
 712 , 0.137706 , 0.122973 , 0.119528 , 0.113749 , 0.10631 
 713 , 0.140003 , 0.125156 , 0.121778 , 0.115271 , 0.107946 
 714 , 0.142328 , 0.127345 , 0.124053 , 0.116805 , 0.109609 
 715 , 0.144643 , 0.129481 , 0.12632 , 0.118317 , 0.111289 
 716 , 0.147049 , 0.131687 , 0.128682 , 0.119883 , 0.113036 
 717 , 0.14955 , 0.133981 , 0.131123 , 0.121517 , 0.114849 
 718 , 0.151929 , 0.136187 , 0.133474 , 0.123172 , 0.116647 
 719 , 0.154351 , 0.138435 , 0.135869 , 0.12486 , 0.118478 
 720 , 0.15683 , 0.14074 , 0.138321 , 0.126585 , 0.120353 
 721 , 0.159214 , 0.14297 , 0.140703 , 0.128269 , 0.122199 
 722 , 0.161537 , 0.145148 , 0.14304 , 0.129928 , 0.12402 
 723 , 0.16387 , 0.147336 , 0.14538 , 0.131597 , 0.125852 
 724 , 0.166188 , 0.149523 , 0.147708 , 0.133265 , 0.127671 
 725 , 0.168412 , 0.151649 , 0.149966 , 0.134914 , 0.129424 
 726 , 0.17062 , 0.153747 , 0.152191 , 0.136531 , 0.131159 
 727 , 0.172807 , 0.155832 , 0.154412 , 0.138143 , 0.132882 
 728 , 0.174872 , 0.157793 , 0.156506 , 0.139683 , 0.134554 
 729 , 0.176884 , 0.159703 , 0.158528 , 0.141183 , 0.136184 
 730 , 0.178854 , 0.16157 , 0.160515 , 0.142647 , 0.137779 
 731 , 0.180726 , 0.163335 , 0.16238 , 0.144056 , 0.139295 
 732 , 0.182498 , 0.16501 , 0.164168 , 0.145403 , 0.140749 
 733 , 0.184225 , 0.166648 , 0.165926 , 0.14672 , 0.142174 
 734 , 0.185866 , 0.168209 , 0.167614 , 0.147979 , 0.143529 
 735 , 0.187407 , 0.169684 , 0.169231 , 0.149159 , 0.144812 
 736 , 0.188929 , 0.171148 , 0.170825 , 0.150331 , 0.146079 
 737 , 0.19042 , 0.172581 , 0.172394 , 0.151477 , 0.147318 
 738 , 0.191706 , 0.173858 , 0.173735 , 0.152499 , 0.148424 
 739 , 0.192991 , 0.175121 , 0.175056 , 0.153523 , 0.149548 
 740 , 0.19427 , 0.17637 , 0.17637 , 0.154532 , 0.150659 
 741 , 0.19545 , 0.177485 , 0.177536 , 0.155433 , 0.151661 
 742 , 0.196596 , 0.178617 , 0.178741 , 0.156355 , 0.152642 
 743 , 0.197744 , 0.179751 , 0.179948 , 0.157277 , 0.153617 
 744 , 0.198826 , 0.180845 , 0.181072 , 0.158186 , 0.154544 
 745 , 0.19982 , 0.181857 , 0.182034 , 0.159035 , 0.155376 
 746 , 0.200824 , 0.182878 , 0.182996 , 0.159882 , 0.156218 
 747 , 0.201832 , 0.183891 , 0.183957 , 0.160727 , 0.157056 
 748 , 0.202689 , 0.184794 , 0.184787 , 0.161402 , 0.157755 
 749 , 0.203553 , 0.18571 , 0.185628 , 0.162094 , 0.158472 
 750 , 0.204439 , 0.186654 , 0.18649 , 0.162799 , 0.159209 
 751 , 0.205087 , 0.187383 , 0.187127 , 0.163366 , 0.159757 
 752 , 0.205688 , 0.188074 , 0.187719 , 0.163917 , 0.160272 
 753 , 0.206325 , 0.1888 , 0.188346 , 0.164492 , 0.16081 
 754 , 0.206841 , 0.189353 , 0.188865 , 0.164904 , 0.161262 
 755 , 0.207175 , 0.189655 , 0.1892 , 0.165065 , 0.161579 
 756 , 0.207544 , 0.18999 , 0.189587 , 0.165246 , 0.161934 
 757 , 0.207957 , 0.190374 , 0.190007 , 0.165451 , 0.162331 
 758 , 0.208458 , 0.190832 , 0.190489 , 0.165685 , 0.162806 
 759 , 0.208995 , 0.191319 , 0.190988 , 0.16593 , 0.163294 
 760 , 0.209572 , 0.191857 , 0.191531 , 0.166197 , 0.163838 
