JUL8MAT00090.spu,JUL8MAT00089.spu,JUL8MAT00088.spu,JUL8MAT00087.spu,JUL8MAT00086.spu,
Wavelength,JUL8MAT00091.spu,JUL8MAT00092.spu,JUL8MAT00093.spu,JUL8MAT00094.spu,JUL8MAT00095.spu,JUL8MAT00096.spu,JUL8MAT00097.spu,JUL8MAT00098.spu,JUL8MAT00099.spu,JUL8MAT00100.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,8:32 PM",8:41 PM",8:48 PM",8:54 PM",9:01 PM",0:08 PM",0:16 PM",0:22 PM",0:28 PM",0:35 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 446 , 0.037997 , 0.031206 , 0.028466 , 0.0274 , 0.022952 , 0.060302 , 0.026499 , 0.032361 , 0.034135 , 0.029996 
 447 , 0.038436 , 0.031512 , 0.02873 , 0.027631 , 0.023205 , 0.060947 , 0.026781 , 0.03275 , 0.034477 , 0.030274 
 448 , 0.03887 , 0.031816 , 0.028995 , 0.027863 , 0.023458 , 0.061592 , 0.02706 , 0.033143 , 0.034822 , 0.03055 
 449 , 0.039305 , 0.032116 , 0.029261 , 0.02809 , 0.023712 , 0.062234 , 0.02734 , 0.033533 , 0.035156 , 0.030823 
 450 , 0.039611 , 0.032323 , 0.029495 , 0.028255 , 0.023845 , 0.062642 , 0.027509 , 0.033781 , 0.035414 , 0.031055 
 451 , 0.039843 , 0.032469 , 0.02971 , 0.028392 , 0.023906 , 0.062907 , 0.027607 , 0.033932 , 0.035626 , 0.031252 
 452 , 0.040074 , 0.032609 , 0.02993 , 0.028529 , 0.023966 , 0.063172 , 0.027699 , 0.034089 , 0.035837 , 0.031454 
 453 , 0.04027 , 0.032709 , 0.030088 , 0.028643 , 0.024011 , 0.063385 , 0.027786 , 0.034227 , 0.036002 , 0.0316 
 454 , 0.040345 , 0.032672 , 0.030094 , 0.028705 , 0.024001 , 0.063459 , 0.027846 , 0.034335 , 0.036043 , 0.031579 
 455 , 0.040418 , 0.032635 , 0.030094 , 0.028771 , 0.02399 , 0.063535 , 0.027898 , 0.034442 , 0.036087 , 0.031556 
 456 , 0.040495 , 0.032596 , 0.030098 , 0.02883 , 0.023978 , 0.063614 , 0.027955 , 0.034552 , 0.03613 , 0.031533 
 457 , 0.040588 , 0.032691 , 0.030215 , 0.028911 , 0.024027 , 0.063796 , 0.028033 , 0.034653 , 0.036277 , 0.031575 
 458 , 0.040681 , 0.032797 , 0.030348 , 0.028992 , 0.024085 , 0.063994 , 0.02811 , 0.034748 , 0.036447 , 0.031628 
 459 , 0.040779 , 0.032901 , 0.030486 , 0.029072 , 0.024147 , 0.064195 , 0.028186 , 0.034849 , 0.036615 , 0.031679 
 460 , 0.040868 , 0.032973 , 0.030555 , 0.029099 , 0.024176 , 0.064385 , 0.028231 , 0.034901 , 0.036742 , 0.031742 
 461 , 0.040949 , 0.033023 , 0.030564 , 0.029087 , 0.024185 , 0.06458 , 0.028242 , 0.034922 , 0.036832 , 0.031815 
 462 , 0.041029 , 0.033067 , 0.030577 , 0.029069 , 0.024189 , 0.064774 , 0.028258 , 0.034937 , 0.036928 , 0.031893 
 463 , 0.041125 , 0.033103 , 0.030598 , 0.029075 , 0.024204 , 0.064967 , 0.028286 , 0.034977 , 0.03701 , 0.031963 
 464 , 0.041267 , 0.033088 , 0.030689 , 0.029171 , 0.02423 , 0.065119 , 0.028355 , 0.035093 , 0.037005 , 0.031971 
 465 , 0.041415 , 0.033074 , 0.030779 , 0.029268 , 0.024262 , 0.065272 , 0.02843 , 0.035216 , 0.037006 , 0.031979 
 466 , 0.041563 , 0.033054 , 0.03087 , 0.029369 , 0.024294 , 0.06543 , 0.028504 , 0.035337 , 0.037002 , 0.031987 
 467 , 0.041658 , 0.033123 , 0.030977 , 0.029389 , 0.024336 , 0.065599 , 0.028546 , 0.035433 , 0.037136 , 0.032011 
 468 , 0.041749 , 0.03321 , 0.03109 , 0.029397 , 0.024375 , 0.065784 , 0.028581 , 0.035532 , 0.037307 , 0.032043 
 469 , 0.04184 , 0.033292 , 0.031209 , 0.029406 , 0.024419 , 0.065969 , 0.028617 , 0.035626 , 0.037484 , 0.032069 
 470 , 0.041937 , 0.033379 , 0.031307 , 0.029493 , 0.024471 , 0.066205 , 0.028714 , 0.035748 , 0.037655 , 0.032113 
 471 , 0.042049 , 0.033465 , 0.031388 , 0.029675 , 0.024545 , 0.066495 , 0.028884 , 0.035903 , 0.037825 , 0.032185 
 472 , 0.042162 , 0.033544 , 0.031464 , 0.029858 , 0.024614 , 0.066786 , 0.029054 , 0.036059 , 0.037996 , 0.032251 
