JUL8MAT00029.spu,JUL8MAT00028.spu,JUL8MAT00027.spu,JUL8MAT00026.spu,
Wavelength,JUL8MAT00031.spu,JUL8MAT00032.spu,JUL8MAT00033.spu,JUL8MAT00034.spu,JUL8MAT00035.spu,JUL8MAT00036.spu,JUL8MAT00037.spu,JUL8MAT00038.spu,JUL8MAT00039.spu,JUL8MAT00040.spu,JUL8MAT00041.spu,JUL8MAT00042.spu,JUL8MAT00043.spu,JUL8MAT00044.spu,JUL8MAT00045.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,3:09 PM",3:18 PM",3:27 PM",3:37 PM",3:44 PM",5:02 PM",5:14 PM",6:48 PM",6:56 PM",8:53 PM",9:33 PM",9:41 PM",9:50 PM",9:59 PM",0:07 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,
 408 , 0.0195 , 0.015166 , 0.022933 , 0.018803 , 0.014117 , 0.023775 , 0.014204 , 0.013109 , 0.015892 , 0.013959 , 0.014706 , 0.018583 , 0.013242 , 0.014917 , 0.018699 
 409 , 0.019827 , 0.0154 , 0.023175 , 0.018819 , 0.014237 , 0.024079 , 0.014437 , 0.013136 , 0.016044 , 0.013981 , 0.014835 , 0.018756 , 0.013366 , 0.015136 , 0.018894 
 410 , 0.019983 , 0.015764 , 0.023565 , 0.019245 , 0.014486 , 0.024493 , 0.014583 , 0.013357 , 0.016118 , 0.01417 , 0.014996 , 0.019009 , 0.01366 , 0.015414 , 0.019199 
 411 , 0.020129 , 0.016106 , 0.02394 , 0.01965 , 0.014722 , 0.024887 , 0.014718 , 0.013564 , 0.016191 , 0.014353 , 0.015151 , 0.019251 , 0.013937 , 0.015677 , 0.019488 
 412 , 0.020269 , 0.016433 , 0.024293 , 0.020034 , 0.014946 , 0.025258 , 0.014848 , 0.013759 , 0.016258 , 0.014523 , 0.015297 , 0.019479 , 0.014199 , 0.015929 , 0.019765 
 413 , 0.020542 , 0.016732 , 0.024692 , 0.020353 , 0.015081 , 0.025706 , 0.015038 , 0.013971 , 0.016414 , 0.014719 , 0.015528 , 0.019789 , 0.014375 , 0.016108 , 0.020043 
 414 , 0.020879 , 0.017015 , 0.025111 , 0.020633 , 0.015163 , 0.026184 , 0.015249 , 0.014189 , 0.016617 , 0.014933 , 0.015803 , 0.020144 , 0.014496 , 0.016245 , 0.020317 
 415 , 0.0212 , 0.017282 , 0.025514 , 0.0209 , 0.015245 , 0.026642 , 0.015458 , 0.014396 , 0.016808 , 0.015136 , 0.016063 , 0.020482 , 0.014618 , 0.016373 , 0.020582 
 416 , 0.021533 , 0.017559 , 0.025931 , 0.021174 , 0.015377 , 0.027088 , 0.015689 , 0.01458 , 0.017012 , 0.015321 , 0.016306 , 0.020779 , 0.014773 , 0.016543 , 0.020827 
 417 , 0.021921 , 0.017874 , 0.026432 , 0.021476 , 0.015656 , 0.027543 , 0.015996 , 0.014726 , 0.017248 , 0.015484 , 0.01652 , 0.021 , 0.015034 , 0.01682 , 0.021044 
 418 , 0.022295 , 0.018183 , 0.026913 , 0.021772 , 0.015925 , 0.027982 , 0.016289 , 0.014865 , 0.017473 , 0.015641 , 0.016728 , 0.021213 , 0.015286 , 0.017092 , 0.021248 
 419 , 0.022654 , 0.018482 , 0.027384 , 0.022057 , 0.016189 , 0.028406 , 0.016577 , 0.015002 , 0.017697 , 0.015792 , 0.016929 , 0.021418 , 0.015528 , 0.017353 , 0.02145 
 420 , 0.022891 , 0.018857 , 0.027823 , 0.022339 , 0.016362 , 0.028815 , 0.016775 , 0.015168 , 0.01778 , 0.015985 , 0.017116 , 0.021666 , 0.015792 , 0.017582 , 0.021706 
 421 , 0.023111 , 0.019236 , 0.028257 , 0.022619 , 0.016526 , 0.029213 , 0.016954 , 0.015335 , 0.017847 , 0.016174 , 0.017297 , 0.021911 , 0.016052 , 0.017807 , 0.021965 
 422 , 0.02332 , 0.019608 , 0.028682 , 0.022894 , 0.016684 , 0.029602 , 0.017133 , 0.015497 , 0.017912 , 0.016362 , 0.017477 , 0.02215 , 0.016308 , 0.018026 , 0.022218 
