
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 598 , 0.10213 , 0.08354 , 0.08002 , 0.09458 , 0.08396 
 599 , 0.10224 , 0.08371 , 0.08017 , 0.09468 , 0.08408 
 600 , 0.10235 , 0.08389 , 0.08033 , 0.09478 , 0.0842 
 601 , 0.10239 , 0.08399 , 0.08044 , 0.09481 , 0.08426 
 602 , 0.10238 , 0.08402 , 0.08052 , 0.0948 , 0.08427 
 603 , 0.10236 , 0.08406 , 0.0806 , 0.09479 , 0.08428 
 604 , 0.10233 , 0.0841 , 0.08065 , 0.09479 , 0.08428 
 605 , 0.10239 , 0.0842 , 0.08071 , 0.09488 , 0.08435 
 606 , 0.10244 , 0.0843 , 0.08077 , 0.09498 , 0.08441 
 607 , 0.10249 , 0.0844 , 0.08083 , 0.09507 , 0.08447 
 608 , 0.10254 , 0.0845 , 0.08091 , 0.09517 , 0.08456 
 609 , 0.10261 , 0.08462 , 0.08101 , 0.09529 , 0.08468 
 610 , 0.10268 , 0.08474 , 0.08111 , 0.09541 , 0.08479 
 611 , 0.10279 , 0.08488 , 0.0812 , 0.09559 , 0.08494 
 612 , 0.10292 , 0.08503 , 0.08129 , 0.09578 , 0.0851 
 613 , 0.10305 , 0.08517 , 0.08138 , 0.09598 , 0.08525 
 614 , 0.10326 , 0.08538 , 0.08153 , 0.09627 , 0.08547 
 615 , 0.10351 , 0.08558 , 0.0817 , 0.09659 , 0.0857 
 616 , 0.10375 , 0.08578 , 0.08186 , 0.09691 , 0.08592 
 617 , 0.104 , 0.08599 , 0.08203 , 0.09724 , 0.08615 
 618 , 0.10428 , 0.08625 , 0.08227 , 0.09762 , 0.08642 
 619 , 0.10451 , 0.08648 , 0.08247 , 0.09795 , 0.08665 
 620 , 0.10475 , 0.08671 , 0.08268 , 0.09829 , 0.08689 
 621 , 0.10504 , 0.08696 , 0.08291 , 0.09865 , 0.08716 
 622 , 0.10535 , 0.08723 , 0.08315 , 0.09902 , 0.08745 
 623 , 0.10567 , 0.08749 , 0.08339 , 0.0994 , 0.08775 
 624 , 0.10599 , 0.08778 , 0.08364 , 0.09978 , 0.08806 
 625 , 0.10629 , 0.08806 , 0.08389 , 0.10012 , 0.08838 
 626 , 0.10659 , 0.08834 , 0.08414 , 0.10047 , 0.08869 
 627 , 0.10689 , 0.08862 , 0.08438 , 0.10081 , 0.089 
 628 , 0.10724 , 0.08893 , 0.08468 , 0.10121 , 0.0893 
 629 , 0.10751 , 0.08918 , 0.08491 , 0.10153 , 0.08952 
 630 , 0.10778 , 0.08943 , 0.08514 , 0.10185 , 0.08975 
 631 , 0.10816 , 0.08978 , 0.08543 , 0.10224 , 0.09009 
 632 , 0.1084 , 0.09002 , 0.0856 , 0.10248 , 0.09032 
 633 , 0.10864 , 0.09026 , 0.08577 , 0.10273 , 0.09055 
 634 , 0.10888 , 0.0905 , 0.08594 , 0.103 , 0.09081 
 635 , 0.10905 , 0.09064 , 0.08604 , 0.10324 , 0.09103 
 636 , 0.1092 , 0.09076 , 0.08613 , 0.10347 , 0.09124 
 637 , 0.10935 , 0.09089 , 0.08622 , 0.10369 , 0.09145 
 638 , 0.10927 , 0.09081 , 0.08609 , 0.10369 , 0.09146 
 639 , 0.1092 , 0.09073 , 0.08597 , 0.10371 , 0.09147 
 640 , 0.10913 , 0.09065 , 0.08585 , 0.10373 , 0.09149 
 641 , 0.10884 , 0.09038 , 0.08557 , 0.10356 , 0.09135 
 642 , 0.10859 , 0.09014 , 0.08533 , 0.10344 , 0.09126 
 643 , 0.10834 , 0.0899 , 0.08508 , 0.10331 , 0.09116 
 644 , 0.10801 , 0.08961 , 0.08478 , 0.10313 , 0.09101 
 645 , 0.10761 , 0.0893 , 0.08444 , 0.10292 , 0.09084 
 646 , 0.10725 , 0.08901 , 0.08411 , 0.10274 , 0.09068 
 647 , 0.10687 , 0.08872 , 0.08378 , 0.10256 , 0.09053 
 648 , 0.10652 , 0.08838 , 0.08345 , 0.10235 , 0.09036 
 649 , 0.10623 , 0.08809 , 0.08319 , 0.10222 , 0.09025 
 650 , 0.10594 , 0.0878 , 0.08292 , 0.10209 , 0.09014 
 651 , 0.10575 , 0.08761 , 0.08273 , 0.10204 , 0.0901 
 652 , 0.10561 , 0.08748 , 0.08258 , 0.10201 , 0.09009 
 653 , 0.10547 , 0.08734 , 0.08241 , 0.10199 , 0.09008 
 654 , 0.10548 , 0.08731 , 0.08236 , 0.10211 , 0.09019 
 655 , 0.10544 , 0.08722 , 0.08225 , 0.10223 , 0.09029 
 656 , 0.1053 , 0.08706 , 0.08207 , 0.10225 , 0.09029 
 657 , 0.10517 , 0.08689 , 0.08189 , 0.10227 , 0.0903 
 658 , 0.10537 , 0.08699 , 0.08195 , 0.10263 , 0.09061 
