
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 371 , 0.301 , 0.27938 , 0.34151 , 0.33798 , 0.16688 , 0.22872 , 0.52202 , 0.45816 , 0.21179 , 0.19255 , 0.30807 , 0.38479 , 0.46058 , 0.54696 , 0.39709 , 0.31962 
 372 , 0.28441 , 0.2638 , 0.32405 , 0.32871 , 0.16021 , 0.2178 , 0.49971 , 0.43923 , 0.20109 , 0.18108 , 0.29633 , 0.36944 , 0.4405 , 0.52631 , 0.38128 , 0.30837 
 373 , 0.26143 , 0.24865 , 0.30528 , 0.29833 , 0.15032 , 0.20237 , 0.4617 , 0.4089 , 0.19116 , 0.17176 , 0.2759 , 0.3439 , 0.4119 , 0.49154 , 0.35558 , 0.28751 
 374 , 0.24163 , 0.23554 , 0.28907 , 0.27203 , 0.14168 , 0.18897 , 0.42893 , 0.38248 , 0.18253 , 0.16364 , 0.25823 , 0.32178 , 0.38714 , 0.46143 , 0.33349 , 0.26954 
 375 , 0.22439 , 0.2241 , 0.27493 , 0.24904 , 0.13408 , 0.17724 , 0.40039 , 0.35928 , 0.17496 , 0.15649 , 0.2428 , 0.30245 , 0.36549 , 0.43512 , 0.3143 , 0.2539 
 376 , 0.20216 , 0.20193 , 0.24485 , 0.22387 , 0.11927 , 0.15913 , 0.35504 , 0.31927 , 0.15653 , 0.14072 , 0.21575 , 0.27018 , 0.32629 , 0.38803 , 0.28061 , 0.22551 
 377 , 0.18195 , 0.18004 , 0.21495 , 0.20207 , 0.10476 , 0.14196 , 0.31187 , 0.2808 , 0.13789 , 0.12491 , 0.18956 , 0.2393 , 0.28814 , 0.34239 , 0.24803 , 0.19792 
 378 , 0.16623 , 0.16301 , 0.19181 , 0.18517 , 0.09352 , 0.1286 , 0.27817 , 0.25099 , 0.12348 , 0.11267 , 0.16918 , 0.21539 , 0.25849 , 0.30701 , 0.22274 , 0.17648 
 379 , 0.14474 , 0.14065 , 0.16486 , 0.16233 , 0.08053 , 0.11189 , 0.23954 , 0.21687 , 0.10715 , 0.09803 , 0.14606 , 0.18707 , 0.22418 , 0.26574 , 0.193 , 0.15199 
 380 , 0.11423 , 0.10992 , 0.13101 , 0.13002 , 0.06432 , 0.08961 , 0.19179 , 0.17461 , 0.08697 , 0.07911 , 0.11766 , 0.15088 , 0.18121 , 0.21365 , 0.1552 , 0.12176 
